Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
James Harden29HOU,36.1,6.6,7.5,2,0.7,0.442,0.368,0.879,1126.08
James Harden31BRK,24.6,8.5,10.9,1.3,0.8,0.471,0.366,0.856,915
Hakeem Olajuwon*24HOU,23.4,11.4,2.9,1.9,3.4,0.508,0.2,0.702,875.84
Kawhi Leonard28LAC,27.1,7.1,4.9,1.8,0.6,0.47,0.378,0.886,871.56
Gary Payton*34MIL,19.6,3.1,7.4,1.4,0.3,0.466,0.294,0.746,795.4
Reggie Miller*33IND,18.4,2.7,2.2,0.7,0.2,0.438,0.385,0.915,667.59
Gilbert Arenas21GSW,18.3,4.7,6.3,1.5,0.2,0.431,0.348,0.791,651
Loy Vaught26LAC,17.5,9.7,1.7,1.3,0.4,0.514,0.212,0.71,634.41
Rasheed Wallace31DET,15.1,6.8,2.3,1,1.6,0.43,0.357,0.743,612.48
Metta World Peace23IND,15.5,5.2,2.9,2.3,0.7,0.428,0.336,0.736,591.36
Lamond Murray28CLE,16.6,5.2,2.2,1,0.6,0.436,0.424,0.817,544.42
Derrick McKey23SEA,15.7,6.1,2.3,1.1,1,0.493,0.13,0.782,536.64
Andrew Bogut22MIL,12.3,8.8,3,0.7,0.5,0.553,0.2,0.577,530.1
Norman Powell27TOT,18.6,3.1,1.9,1.2,0.3,0.477,0.411,0.871,518.4
Lindsey Hunter26DET,14.2,2.8,1.9,1.6,0.3,0.404,0.355,0.778,494.46
Marques Johnson28LAC,16.4,5.9,3.4,1,0.4,0.452,0.231,0.731,486.2
Ramon Sessions22MIL,12.4,3.4,5.7,1.1,0.1,0.445,0.176,0.794,484
Jeff Green24OKC,15.2,5.6,1.8,0.8,0.4,0.437,0.304,0.818,477.3
Glen Davis27ORL,15.1,7.2,2.1,0.9,0.6,0.448,0,0.718,469.5
Myles Turner21IND,12.7,6.4,1.3,0.6,1.8,0.479,0.357,0.777,468.12
Eric Snow26PHI,7.9,3.2,7.6,1.7,0.1,0.43,0.244,0.712,448
Derek Fisher27LAL,11.2,2.1,2.6,0.9,0.1,0.411,0.413,0.847,394.8
