Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
LeBron James28MIA,26.8,8,7.3,1.7,0.9,0.565,0.406,0.753,1197.64
James Harden30HOU,34.3,6.6,7.5,1.8,0.9,0.444,0.355,0.865,1062.15
Karl Malone*31UTA,26.7,10.6,3.5,1.6,1,0.536,0.268,0.742,956.31
Charles Barkley*28PHI,23.1,11.1,4.1,1.8,0.6,0.552,0.234,0.695,940.8
Allen Iverson*27PHI,27.6,4.2,5.5,2.7,0.2,0.414,0.277,0.774,901
Chris Webber*22WSB,23.7,7.6,5,1.8,0.6,0.543,0.441,0.594,877.92
Hakeem Olajuwon*22HOU,20.6,11.9,1.4,1.2,2.7,0.538,0,0.613,749.05
Rajon Rondo23BOS,13.7,4.4,9.8,2.3,0.1,0.508,0.213,0.621,699.06
Alex English*26DEN,21.3,9.4,3.4,1.2,1.2,0.485,0.667,0.762,675.25
Derrick Coleman24NJN,19.8,9.5,3.2,0.8,1.5,0.504,0.303,0.763,663
Vlade Divac*25LAL,14.2,10.8,3.9,1.2,1.4,0.506,0.191,0.686,639.2
LaMarcus Aldridge31SAS,17.3,7.3,1.9,0.6,1.2,0.477,0.411,0.812,602.64
Bob McAdoo*28DET,21.1,8.1,3.4,1.3,1.1,0.48,0.125,0.73,590.06
Michael Adams27DEN,15.5,2.8,6.3,1.5,0,0.402,0.366,0.85,525.14
Kyle Lowry26TOR,11.6,4.7,6.4,1.4,0.4,0.401,0.362,0.795,519.75
Ersan İlyasova25MIL,13.2,7.1,1.6,0.9,0.5,0.462,0.444,0.796,505.08
Earl Boykins30MIL,14,2.2,4.5,0.9,0,0.427,0.419,0.886,498.3
Avery Johnson31SAS,10.5,1.9,6.8,1.3,0.2,0.477,0.231,0.69,487.5
Dave Cowens*31BOS,14.2,8.1,3.1,1,0.9,0.453,0.083,0.779,483.96
John Bagley25CLE,11.7,3.5,9.4,1.6,0.1,0.423,0.243,0.791,481.84
Kevin McHale*24BOS,13.6,6.8,1.1,0.4,2.3,0.531,0,0.754,479.96
Thaddeus Young29IND,11.8,6.3,1.9,1.7,0.4,0.487,0.32,0.598,476.56
A.C. Green24LAL,11.4,8.7,1.1,1.1,0.5,0.503,0,0.773,465.45
Robert Williams25BOS,8,8.3,1.4,0.6,1.4,0.747,0,0.61,465.3
Kerry Kittles24NJN,12.9,4.2,2.5,1.7,0.6,0.37,0.316,0.772,460.35
Speedy Claxton27NOK,12.3,2.7,4.8,1.5,0.1,0.413,0.27,0.769,457.24
Bobby Jackson30SAC,13.8,3.5,2.1,1,0.2,0.444,0.37,0.752,455.04
Drew Gooden27CHI,13.1,8.6,1.4,0.8,0.5,0.457,0,0.866,452.88
Nick Van Exel22LAL,13.6,2.9,5.8,1,0.1,0.394,0.338,0.781,452.88
Theo Ratliff30TOT,7.9,7.2,0.8,0.6,3.6,0.485,0,0.645,450.72
Ramon Sessions25TOT,11.3,3.3,5.5,0.7,0,0.428,0.443,0.782,445.89
Jason Hart26CHA,9.5,2.7,5,1.3,0.2,0.449,0.368,0.785,430.95
Rory Sparrow26NYK,9.9,2.1,7.1,1,0.1,0.492,0.226,0.865,414.7
Allen Iverson*34TOT,13.8,2.8,4,0.7,0.1,0.43,0.36,0.794,414.06
