Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
Michael Jordan*23CHI,37.1,5.2,4.6,2.9,1.5,0.482,0.182,0.857,1192
Amar'e Stoudemire22PHO,26,8.9,1.6,1,1.6,0.559,0.188,0.733,960.26
Kareem Abdul-Jabbar*33LAL,26.2,10.3,3.4,0.7,2.9,0.574,0,0.766,948.6
Anthony Davis20NOP,20.8,10,1.6,1.3,2.8,0.519,0.222,0.791,932.8
Dominique Wilkins*31ATL,25.9,9,3.3,1.5,0.8,0.47,0.341,0.829,893
Gary Payton*34TOT,20.4,4.2,8.3,1.7,0.3,0.454,0.297,0.71,846.11
LaMarcus Aldridge32SAS,23.1,8.5,2,0.6,1.2,0.51,0.293,0.837,837.5
Dwyane Wade*26MIA,24.6,4.2,6.9,1.7,0.7,0.469,0.286,0.758,823.45
Chris Paul32HOU,18.6,5.4,7.9,1.7,0.2,0.46,0.38,0.919,775.92
LaMarcus Aldridge33SAS,21.3,9.2,2.4,0.5,1.3,0.519,0.238,0.847,760.28
Mike James30TOR,20.3,3.3,5.8,0.9,0,0.469,0.442,0.837,732.6
Terrell Brandon27MIL,16.8,3.5,7.7,2.2,0.3,0.464,0.333,0.846,721.14
Kevin Love28CLE,19,11.1,1.9,0.9,0.4,0.427,0.373,0.871,662.54
Joakim Noah25CHI,11.7,10.4,2.2,1,1.5,0.525,0,0.739,616.64
Sean Elliott27SAS,20,5.1,2.7,0.9,0.4,0.466,0.411,0.771,614.51
Clarence Weatherspoon24PHI,18.1,6.9,2.8,1.5,0.9,0.439,0.19,0.751,598.88
Mason Plumlee32CHO,12.2,9.7,3.7,0.6,0.6,0.669,0,0.605,570
Brad Miller25CHI,12.7,8.4,2.1,1.1,0.6,0.46,0.5,0.751,568.4
Rasheed Wallace23POR,14.6,6.2,2.5,1,1.1,0.533,0.205,0.662,560.24
Donovan Mitchell21UTA,20.5,3.7,3.7,1.5,0.3,0.437,0.34,0.805,557.78
Hersey Hawkins29SEA,15.6,3.6,2.7,1.8,0.2,0.473,0.384,0.874,553.84
Spencer Dinwiddie29DAL,17.7,3.1,5.3,0.7,0.3,0.455,0.405,0.821,549.01
Sam Vincent24CHI,13,3.6,8.4,1.2,0.4,0.447,0.375,0.925,529.69
Darrell Griffith25UTA,20,4.1,3.5,1.4,0.3,0.49,0.361,0.696,520.03
Larry Sanders24MIL,9.8,9.5,1.2,0.7,2.8,0.506,0,0.618,510.51
Ron Anderson30PHI,16.2,5,1.7,0.9,0.3,0.491,0.182,0.856,488.07
Gorgui Dieng27MIN,10,7.9,1.9,1.1,1.2,0.502,0.372,0.814,460.08
Nick Young28LAL,17.9,2.6,1.5,0.7,0.2,0.435,0.386,0.825,452.8
Jameer Nelson31ORL,12.1,3.4,7,0.8,0.1,0.394,0.348,0.857,444.8
Derek Anderson23CLE,11.7,2.8,3.4,1.3,0.2,0.408,0.202,0.873,426.87
Walt Williams25MIA,12,4,2.3,1.1,0.6,0.463,0.455,0.55,424.31
Hubert Davis27DAL,11.1,2.1,1.9,0.5,0.1,0.456,0.439,0.836,367.5
Ron Harper32CHI,7.4,2.7,2.6,1.3,0.4,0.467,0.269,0.705,339.84
Jeremy Lamb28IND,10.1,3.6,1.5,0.9,0.6,0.435,0.406,0.947,336.54
Rudy Gay20MEM,10.8,4.5,1.3,0.9,0.9,0.422,0.364,0.727,334.8
Robert Reid33CHH,14.7,3.7,1.9,0.6,0.2,0.428,0.327,0.776,319.64
John Salley25DET,7.2,5.4,0.8,0.6,1.9,0.512,0.25,0.713,314.55
Rod Strickland36MIN,6.8,2,4.6,1,0.1,0.432,0.091,0.738,312.62
Fred Hoiberg31MIN,6.7,3.4,1.4,0.8,0.1,0.465,0.442,0.845,310.08
Anthony Parker35CLE,8.3,3,3,0.9,0.1,0.399,0.379,0.779,304.5
Manu Ginóbili*25SAS,7.6,2.3,2,1.4,0.2,0.438,0.345,0.737,304.29
Jon Barry35TOT,6.6,2.3,2.4,0.9,0.1,0.438,0.43,0.873,292.12
