Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
Dwyane Wade*28MIA,26.6,4.8,6.5,1.8,1.1,0.476,0.3,0.761,1016.4
Karl Malone*32UTA,25.7,9.8,4.2,1.7,0.7,0.519,0.4,0.723,988
Elton Brand20CHI,20.1,10,1.9,0.8,1.6,0.482,0,0.685,762.2
Russell Westbrook30OKC,22.9,11.1,10.7,1.9,0.5,0.428,0.29,0.656,759.6
Kelly Olynyk29HOU,19,8.4,4.1,1.4,0.6,0.545,0.392,0.844,693.53
Draymond Green25GSW,14,9.5,7.4,1.5,1.4,0.49,0.388,0.696,669.71
Gary Payton*25SEA,16.5,3.3,6,2.3,0.2,0.504,0.278,0.595,624.78
Raef LaFrentz25DEN,14.9,7.4,1.2,0.6,3,0.466,0.434,0.667,618.03
Clifford Robinson33PHO,18.5,4.5,2.8,1.1,0.8,0.464,0.37,0.782,614.15
D'Angelo Russell23TOT,23.1,3.9,6.3,1.1,0.3,0.426,0.367,0.809,604.01
Michael Redd23MIL,15.1,4.5,1.4,1.2,0.2,0.469,0.438,0.805,592.2
Ricky Pierce27MIL,19.5,3.4,1.8,0.8,0.3,0.534,0.107,0.88,586.45
Jamal Crawford24NYK,17.7,2.9,4.3,1.3,0.3,0.398,0.361,0.843,583.68
Johnny Moore27SAS,13,3.1,9,2.5,0.2,0.495,0.182,0.686,559.98
Reggie Miller*23IND,16,3.9,3.1,1.3,0.4,0.479,0.402,0.844,538.51
Norman Powell28POR,18.7,3.3,2.1,1,0.4,0.456,0.406,0.803,509.49
Chris Bosh*19TOR,11.5,7.4,1,0.8,1.4,0.459,0.357,0.701,505.85
Jonas Valančiūnas25TOR,12.7,8.6,1.1,0.4,0.9,0.568,0.405,0.806,504
Dennis Scott23ORL,19.9,3.7,1.9,1.1,0.5,0.402,0.326,0.901,486.72
Calbert Cheaney23WSB,16.6,4.1,2.3,1,0.3,0.453,0.339,0.812,482.8
JaVale McGee24DEN,10.3,5.8,0.3,0.5,1.6,0.612,0,0.373,422.3
Nate Robinson27GSW,11.2,2,4.5,1.2,0,0.424,0.365,0.832,421.2
Mo Williams32MIN,12.2,2.4,6.4,0.7,0.2,0.403,0.347,0.851,403.2
Danilo Gallinari32ATL,13.3,4.1,1.5,0.6,0.2,0.434,0.406,0.925,391.2
Carlos Boozer33LAL,11.8,6.8,1.3,0.6,0.2,0.499,0,0.627,390.32
John Salley27DET,9.5,4.1,1.6,0.7,1.5,0.512,0,0.715,361.62
KJ Martin20HOU,9.3,5.4,1.1,0.7,0.9,0.509,0.365,0.714,346.02
Vlade Divac*21LAL,8.5,6.2,0.9,1,1.4,0.499,0,0.708,343
Robin Lopez21PHO,8.4,4.9,0.1,0.2,1,0.588,0,0.704,339.68
Jalen Rose22DEN,8.2,2.7,4.8,0.8,0.3,0.454,0.316,0.739,335.22
Kevin Restani28SAS,10.7,4.7,2.3,0.7,0.1,0.508,0.172,0.814,333.6
Reggie Evans24SEA,4.9,9.3,0.7,0.7,0.2,0.476,0,0.534,309.4
Kyle Kuzma24LAL,12.8,4.5,1.3,0.5,0.4,0.436,0.316,0.735,305
Joe Meriweather26NYK,9,5.4,1,0.6,1.8,0.528,0,0.645,294.02
Dion Glover25TOT,9,3.9,1.9,0.7,0.3,0.39,0.336,0.769,290.36
Glen Gondrezick24DEN,6.6,4.4,1.4,1.2,0.3,0.517,0.333,0.76,288.91
Killian Hayes21DET,10.3,2.9,6.2,1.4,0.4,0.377,0.28,0.821,288.66
Francisco García28SAC,8.1,2.6,1.8,0.4,0.8,0.466,0.39,0.882,285.2
Derek Fisher35LAL,7.5,2.1,2.5,1.1,0.1,0.38,0.348,0.856,252.96
Maurice Harkless22POR,6.4,3.6,0.9,0.6,0.4,0.474,0.279,0.622,248.71
Gabe Vincent25MIA,8.7,1.9,3.1,0.9,0.2,0.417,0.368,0.815,248.04
Rafer Alston33NJN,9.7,2.8,3.9,1,0.2,0.343,0.322,0.815,247.08
Kermit Washington30POR,5,5.9,1.5,0.5,0.8,0.487,0,0.585,244.53
Deron Williams32CLE,7.5,1.9,3.6,0.3,0.3,0.463,0.415,0.84,231.42
Bob Hansen29UTA,7.6,2.8,1.8,0.6,0.1,0.467,0.351,0.516,227.8
Damien Wilkins30MIN,5.6,3.1,1.7,0.8,0.3,0.433,0.295,0.798,227.7
Lance Stephenson24CHO,8.2,4.5,3.9,0.6,0.1,0.376,0.171,0.627,227.04
Matt Harpring23ORL,4,3,2,1.3,0.3,0.235,1,0.857,224.36
Pétur Guðmundsson27LAL,7.3,4.8,0.4,0.4,0.5,0.541,0,0.667,222.4
Phil Ford26TOT,6.8,1.3,3.8,0.7,0,0.479,0.111,0.789,217.36
Brooks Thompson26TOT,6.6,1.4,2.7,0.8,0,0.399,0.398,0.632,213.52
Morlon Wiley25ATL,4.3,1.8,4,1,0.1,0.444,0.368,0.7,213.18
Joe Wolf23LAC,7.6,4.5,2.3,0.9,0.4,0.407,0.2,0.833,205.96
Manny Harris22CLE,6.7,2.7,1.2,0.5,0.2,0.4,0.333,0.695,204.75
Kevon Looney21GSW,4,3.3,0.6,0.5,0.8,0.58,0.2,0.545,204.24
Moses Malone*38PHI,5.3,4.1,0.6,0.2,0.3,0.44,0,0.769,198.24
Andre Iguodala37MIA,4.4,3.5,2.3,0.9,0.6,0.383,0.33,0.658,195.96
Ray McCallum22SAC,6.2,1.8,2.7,0.5,0.2,0.377,0.373,0.744,193.03
Moses Brown23LAC,4.6,4.1,0.1,0.1,0.4,0.635,0,0.458,192.95
Shawn Respert25TOR,5.5,1.6,0.9,0.6,0,0.45,0.373,0.815,190.92
Mark West33PHO,4.7,3.6,0.4,0.4,1.3,0.566,0,0.5,185.73
Andre Miller39SAS,4.3,2.1,2.2,0.5,0,0.479,0.25,0.692,179.31
Tom Hammonds25DEN,5.9,2.7,0.5,0.5,0.2,0.489,0,0.611,167.89
Jerome Whitehead27SDC,5.4,3.5,0.3,0.2,0.2,0.49,0,0.822,161.04
Luke Babbitt22POR,5.1,2.4,0.4,0.3,0.1,0.41,0.43,0.85,151.42
Anthony Lamb23HOU,5.5,2.9,1,0.3,0.2,0.39,0.324,0.857,150.51
Josh McRoberts28MIA,3.6,2.5,1.9,0.4,0.2,0.372,0.245,0.7,140.58
Clint Richardson25PHI,4.6,1.5,1.4,0.5,0.1,0.452,1,0.784,132.3
Dickey Simpkins27CHI,4.2,5.4,1.4,0.3,0.3,0.405,0,0.542,131.45
Jarrett Culver21MIN,5.3,3.1,0.7,0.5,0.3,0.411,0.245,0.604,129.36
Alton Lister33GSW,3.9,3.5,0.5,0.2,0.6,0.557,0,0.424,126.56
Darren Daye26BOS,3.9,2,1.2,0.4,0.1,0.5,0,0.523,114.24
Glenn Robinson III25DET,4.2,1.5,0.4,0.3,0.2,0.42,0.29,0.8,113.1
Stephen Graham26IND,5.4,1.8,0.6,0.2,0.1,0.414,0.303,0.806,112.2
Jamel Thomas26BOS,3.7,0.7,0.7,0,0,0.5,0,1,111.51
Alonzo Gee27POR,3.4,1.6,0.4,0.5,0.1,0.429,0.273,0.5,97.97
Max Strus23CHI,2.5,0.5,0,0,0,0.667,0,1,92.1
Primož Brezec28TOR,3.7,1.4,0.1,0.1,0.2,0.447,0,0.667,86.7
Linton Townes24SDC,3,0.5,0.5,0.5,1,0.429,0,0,81.6
Adrian Griffin33TOT,1.9,1.7,0.8,0.5,0.1,0.395,0,0.556,76.56
Wallace Bryant26TOT,2.4,3.1,0.9,0.3,0.3,0.313,0,0.579,75.52
Lance Stephenson21IND,2.5,1.3,1.1,0.5,0.1,0.376,0.133,0.471,73.5
