Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
David Robinson*25SAS,25.6,13,2.5,1.5,3.9,0.552,0.143,0.762,1032.98
Damian Lillard30POR,28.8,4.2,7.5,0.9,0.3,0.451,0.391,0.928,916.48
Michael Finley26DAL,22.6,6.3,5.3,1.3,0.4,0.457,0.401,0.82,810.24
Jermaine O'Neal24IND,20.8,10.3,2,0.9,2.3,0.484,0.333,0.731,796.08
Ray Allen*26MIL,21.8,4.5,3.9,1.3,0.3,0.462,0.434,0.873,790.56
Metta World Peace24IND,18.3,5.3,3.7,2.1,0.7,0.421,0.31,0.733,677.04
Kemba Walker22CHA,17.7,3.5,5.7,2,0.4,0.423,0.322,0.798,656.12
Brad Miller29SAC,15,7.8,4.7,0.8,0.8,0.495,0.386,0.828,647.5
Nic Claxton23BRK,12.6,9.2,1.9,0.9,2.5,0.705,0,0.541,621.92
Mike Conley27MEM,15.8,3,5.4,1.3,0.2,0.446,0.386,0.859,591.48
Khris Middleton30MIL,20.1,5.4,5.4,1.2,0.3,0.443,0.373,0.89,586.44
Hassan Whiteside29MIA,12.3,11.3,0.8,0.6,1.9,0.571,0.125,0.449,547.55
Mark Jackson35TOR,8.5,3.4,9.2,1.2,0.1,0.422,0.345,0.842,544.42
Jeff Teague23ATL,12.6,2.4,4.9,1.6,0.6,0.476,0.342,0.757,522.98
Chris Mullin*32GSW,13.3,2.9,3.5,1.4,0.6,0.499,0.393,0.856,490.98
LaPhonso Ellis27DEN,14.3,7.2,2.8,0.9,0.6,0.407,0.284,0.805,488.16
Damon Jones28MIA,11.6,2.8,4.3,0.5,0.1,0.456,0.432,0.791,486.7
Jamal Mashburn21DAL,19.2,4.5,3.4,1.1,0.2,0.406,0.284,0.699,484.44
Andrew Wiggins22MIN,17.7,4.4,2,1.1,0.6,0.438,0.331,0.643,471.9
Tyson Chandler34PHO,8.4,11.5,0.6,0.7,0.5,0.671,0,0.734,458.16
Tom Chambers32PHO,16.3,5.8,2.1,0.8,0.5,0.431,0.367,0.83,448.38
Wayne Cooper29DEN,13.1,7.8,1,0.5,2.9,0.466,0.429,0.795,441.73
