Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
Chris Mullin*29GSW,25.9,5,3.6,1.5,0.9,0.51,0.451,0.81,784.7
James Worthy*26LAL,19.7,5,3.9,1,0.7,0.531,0.125,0.796,644.28
Kevin Love26CLE,16.4,9.7,2.2,0.7,0.5,0.434,0.367,0.804,635.44
Damian Lillard22POR,19,3.1,6.5,0.9,0.2,0.429,0.368,0.844,633.04
Dan Majerle27PHO,16.9,4.7,3.8,1.7,0.4,0.464,0.381,0.778,600.6
Zach Randolph26NYK,17.6,10.3,2,0.9,0.2,0.459,0.275,0.772,585
Kevin Garnett*33BOS,14.3,7.3,2.7,1,0.8,0.521,0.2,0.837,580.06
Latrell Sprewell31NYK,19.4,3.7,3.9,1.2,0.2,0.404,0.36,0.821,563.07
Brook Lopez34MIL,15.9,6.7,1.3,0.5,2.5,0.531,0.374,0.784,559.36
Shawn Kemp21SEA,15,8.4,1.8,1,1.5,0.508,0.167,0.661,529.76
Lewis Lloyd26HOU,16.9,4,3.7,1.2,0.3,0.529,0.2,0.843,527.46
Mike Conley35MIN,14,3.1,5,1.2,0.2,0.46,0.42,0.863,505.54
Tiny Archibald*32BOS,13.8,2.2,7.7,0.9,0.2,0.499,0,0.816,504.79
Lindsey Hunter26DET,14.2,2.8,1.9,1.6,0.3,0.404,0.355,0.778,494.46
Brendan Haywood30TOT,9.1,9.3,0.6,0.3,2.1,0.562,0,0.62,492.66
Sasha Danilović26DAL,16.6,2.6,1.9,1.2,0.1,0.42,0.367,0.842,488.65
Joakim Noah29CHI,7.2,9.6,4.7,0.7,1.1,0.445,0,0.603,468.18
Jermaine O'Neal30TOR,13.5,7,1.6,0.4,2,0.473,0,0.81,457.38
Don Buse31IND,9.7,2.7,5,2,0.3,0.455,0.386,0.813,455.84
Avery Bradley25BOS,15.2,2.9,2.1,1.5,0.3,0.447,0.361,0.78,440.88
Hedo Türkoğlu25ORL,14,3.5,2.3,0.6,0.3,0.419,0.38,0.836,419.2
Marvin Williams30CHO,11.2,6.6,1.4,0.8,0.7,0.422,0.35,0.873,413.74
D.J. Augustin24CHA,11.1,2.3,6.4,0.8,0,0.376,0.341,0.875,413.13
Clarence Weatherspoon27TOT,9.3,7.5,1.1,1.1,0.9,0.441,0,0.722,411.6
Keon Clark25TOR,9,5.4,0.8,0.3,2.4,0.522,0,0.585,403.2
Jeff Foster28IND,7,9,0.7,0.8,0.2,0.519,0,0.634,401.94
Ken Norman27LAC,12.1,5.8,1.6,0.7,0.9,0.49,0.143,0.535,399.33
Kurt Thomas35SEA,7.5,8.8,1.3,0.8,1,0.513,0,0.696,398.16
Anthony Peeler28VAN,9.9,2.5,2.9,1.1,0,0.486,0.263,0.667,384.56
Saddiq Bey23ATL,11.6,4.8,1.4,0.8,0,0.47,0.4,0.862,383.04
Jordan Clarkson25TOT,13.9,2.7,2.7,0.7,0.1,0.451,0.352,0.8,382.12
Patrick Beverley27HOU,9.9,3.5,3.4,1.3,0.4,0.434,0.4,0.682,373.1
Kent Bazemore26ATL,11.6,5.1,2.3,1.3,0.5,0.441,0.357,0.815,372.52
Joe Johnson34BRK,11.8,3.9,4.1,0.7,0,0.406,0.371,0.852,362.73
Ike Diogu25SAC,9.2,3.9,0.3,0.2,0.1,0.6,0.5,0.758,353.58
Lee Nailon26CHH,10.8,3.7,1.2,0.7,0.2,0.483,0.5,0.747,348.48
Alex Len25ATL,11.1,5.5,1.1,0.4,0.9,0.494,0.363,0.648,345.72
Tony Battie29ORL,7.9,5.6,0.6,0.6,0.8,0.507,0,0.664,329.4
Antawn Jamison36LAL,9.4,4.8,0.7,0.4,0.3,0.464,0.361,0.691,328.95
Jae Crowder31PHO,9.4,5.3,1.9,1.4,0.4,0.399,0.348,0.789,317.53
Jerryd Bayless25BOS,10.1,2.1,3.1,1,0.1,0.418,0.395,0.803,316.25
Herb Williams29IND,10,6.3,1.3,0.5,1.9,0.425,0,0.737,314.4
Mike James33WAS,9.6,2.4,3.6,0.8,0.1,0.387,0.367,0.838,294.03
Willie Burton22MIA,12,3.4,1.4,0.9,0.3,0.441,0.133,0.782,292.1
Dale Davis35TOT,4.7,6.1,0.8,0.5,1.1,0.479,0,0.606,286.76
Jay Humphries22PHO,8.8,2.1,4.4,1.3,0.1,0.446,0.2,0.829,273.48
Mike Sanders32CLE,8.6,3.2,1.4,0.7,0.6,0.497,0.25,0.756,264.32
Matt Barnes36SAC,7.6,5.4,2.8,0.7,0.3,0.384,0.327,0.758,258.06
Lawrence Funderburke29SAC,6.4,3.1,0.4,0.4,0.3,0.523,0,0.706,246.6
Marvin Williams33CHO,6.7,2.7,1,0.6,0.5,0.448,0.376,0.86,232.46
Jaren Jackson31SAS,6.4,2.1,1,0.9,0.2,0.38,0.361,0.821,228.75
DeAndre Jordan33TOT,4.3,5.5,0.4,0.3,0.7,0.643,0,0.55,223.6
Isaac Bonga20WAS,5,3.4,1.2,0.7,0.3,0.504,0.352,0.812,192.78
Fred Jones27POR,4.8,1.4,2.2,0.8,0.2,0.384,0.259,0.846,192.61
B.J. Armstrong30TOT,4,1.2,2.3,0.4,0,0.493,0.257,0.84,183.96
Thomas Jordan24PHI,11,4.8,0.8,0.8,1.3,0.439,0,0.471,182.85
Malik Allen26CHA,5,2.1,0.3,0.2,0.5,0.485,0,0.929,182.04
Manny Harris21CLE,5.9,2.6,1.6,0.6,0.1,0.374,0.37,0.763,179.92
Kevin Gamble31SAC,5,1.7,1.2,0.3,0.3,0.43,0.482,0.7,178.64
Emanual Davis28HOU,5,1.7,2,0.7,0.2,0.444,0.444,0.625,171.69
Mike Bratz29GSW,5.1,1,2.2,0.8,0.1,0.424,0.231,0.841,170.24
Richard Jefferson36CLE,5.7,2.6,1,0.3,0.1,0.446,0.333,0.741,169.32
Cherokee Parks24MIN,3.3,2.6,0.4,0.5,0.6,0.51,0,0.605,160.02
Winston Garland25GSW,5.3,2.2,3.1,0.9,0.1,0.375,0.1,0.841,159.25
Eddie Gill23MEM,5,1.2,2.1,0.5,0.1,0.424,0.318,0.795,153.64
Romeo Langford22TOT,4.5,2.3,0.4,0.5,0.3,0.435,0.341,0.548,148.12
Jon Barry25MIL,3.7,0.9,1.6,0.6,0.1,0.425,0.333,0.763,146.16
Rickey Brown24GSW,5.5,3.6,0.3,0.2,0.4,0.482,0,0.615,135.59
Brian Quinnett24NYK,4.7,2.1,0.8,0.3,0.2,0.459,0.349,0.722,134.1
Mike Smrek26SAS,4.5,3,0.3,0.3,1.3,0.471,0,0.645,130.5
Dion Glover25TOR,4.6,2.1,1.1,0.7,0.1,0.385,0.286,0.714,125.73
Obinna Ekezie25WAS,3.5,2.6,0.3,0.2,0.2,0.416,0,0.698,125.02
Chucky Brown28TOT,2.9,2.1,0.4,0.1,0.3,0.506,0.167,0.671,122.04
Jawun Evans21LAC,4.8,1.8,2.1,0.8,0.1,0.352,0.278,0.776,116.64
Gorgui Dieng33SAS,3.9,3.5,1.7,0.1,0.5,0.385,0.28,0.769,113.85
Clifford Robinson40NJN,4.1,2.4,1,0.2,0.5,0.372,0.379,0.444,112.69
Zeke Nnaji20DEN,3.2,1.5,0.2,0.2,0.1,0.481,0.407,0.8,107.35
Dave Jamerson24HOU,4,0.9,0.7,0.4,0,0.414,0.286,0.926,99.54
Žarko Čabarkapa22PHO,4.1,2,0.8,0.2,0.3,0.411,0.188,0.66,97.44
Jud Buechler28CHI,1.8,1.7,0.8,0.3,0.3,0.367,0.333,0.357,91.14
Brandon Hunter24ORL,3.1,2.2,0.1,0.1,0.2,0.507,0,0.538,87.84
Shawne Williams22DAL,2.8,3.1,0.1,0.1,0.6,0.286,0.059,0.818,84.75
Chris Richard25CHI,2.1,3.3,0.4,0.4,0.2,0.517,0,0.636,80.6
Danny Granger29IND,5.4,1.8,0.6,0.4,0.2,0.286,0.2,0.625,59.2
Lou Amundson33NYK,1.8,1.7,0.4,0.2,0.2,0.358,0,0.519,46.9
Jeff Taylor27DET,1.8,0.3,0.3,0.2,0.1,0.6,0,0.9,43.29
George McCloud22IND,2.7,1,1,0.4,0.1,0.313,0.325,0.789,43.24
Jabari Smith24SAC,1.5,1.2,0.5,0.2,0.3,0.286,0,0.5,41.3
Dan Godfread23MIN,1.3,0.2,0,0.1,0.4,0.417,0,0.75,40.6
Paul Shirley27PHO,1.3,0.2,0.3,0,0,0.455,0,0.5,32.67
Kenny Thomas30SAC,1.4,2.7,0.6,0.3,0,0.421,0,0,31.72
Michael Hawkins28CLE,0.8,0.5,1.3,0.2,0,0.333,0.5,0,28.12
Tony Massenburg24BOS,1.4,1.3,0,0,0.1,0.444,0,0.5,27.06
