Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
Hakeem Olajuwon*30HOU,26.1,13,3.5,1.8,4.2,0.529,0,0.779,1078.35
George Gervin*29SAS,32.3,5,2.4,1,0.6,0.5,0.278,0.864,863.94
Kevin Durant20OKC,25.3,6.5,2.8,1.3,0.7,0.476,0.422,0.863,811.2
Allen Iverson*21PHI,23.5,4.1,7.5,2.1,0.3,0.416,0.341,0.702,721.8
Kenny Anderson23NJN,18.8,3.9,9.6,1.9,0.2,0.417,0.303,0.818,695.24
Marcus Thornton23SAC,21.3,4.7,3.4,1.7,0.2,0.45,0.361,0.805,693.42
Reggie Theus29SAC,20.3,3.4,8.8,1,0.2,0.472,0.218,0.867,651.56
Brandon Roy22POR,16.8,4.4,4,1.2,0.2,0.456,0.377,0.838,637.2
Dwight Howard31ATL,13.5,12.7,1.4,0.9,1.2,0.633,0,0.533,617.76
Larry Kenon27SAS,20.1,9.9,3,1.4,0.2,0.485,0.111,0.783,617.48
David Thompson*25DEN,21.5,4.5,3.2,1,1,0.468,0.368,0.758,604.2
Dan Majerle27PHO,16.9,4.7,3.8,1.7,0.4,0.464,0.381,0.778,600.6
John Wall20WAS,16.4,4.6,8.3,1.8,0.5,0.409,0.296,0.766,597.24
Sam Cassell29NJN,18,1.5,4.8,0.8,0,0.429,0.143,0.935,592.5
Mitch Richmond*23GSW,22,5.9,4.2,1,0.2,0.468,0.367,0.81,591.68
Donyell Marshall26GSW,14.2,10,2.6,1.1,1.1,0.394,0.355,0.78,554.04
Klay Thompson23GSW,18.4,3.1,2.2,0.9,0.5,0.444,0.417,0.795,506.22
Shawn Marion32DAL,12.5,6.9,1.4,0.9,0.6,0.52,0.152,0.768,479.4
Muggsy Bogues27CHH,8.9,2.9,9.1,2.1,0.1,0.472,0.074,0.783,476
Mark Blount28BOS,10.3,7.2,0.9,1,1.3,0.566,0,0.719,468.8
David Robinson*37SAS,8.5,7.9,1,0.8,1.7,0.469,0,0.71,466.36
Shane Battier24MEM,9.7,4.4,1.3,1.3,1.1,0.483,0.398,0.828,459
