Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
Michael Jordan*26CHI,33.6,6.9,6.3,2.8,0.7,0.526,0.376,0.848,1216.8
LeBron James20CLE,27.2,7.4,7.2,2.2,0.7,0.472,0.351,0.75,1089.68
Gilbert Arenas25WAS,28.4,4.6,6,1.9,0.2,0.418,0.351,0.844,955.2
Gary Payton*34SEA,20.8,4.8,8.8,1.8,0.2,0.448,0.298,0.692,873.12
Chris Webber*24WAS,21.9,9.5,3.8,1.6,1.7,0.482,0.317,0.589,827.64
Nikola Vučević30ORL,24.5,11.8,3.8,1,0.6,0.48,0.406,0.827,801.35
Jerry Stackhouse25DET,23.6,3.8,4.5,1.3,0.4,0.428,0.288,0.815,725.76
Kevin Garnett*34BOS,14.9,8.9,2.4,1.3,0.8,0.528,0.2,0.862,644.78
Adrian Dantley*31DET,21.5,4.1,2,0.8,0.1,0.534,0.167,0.812,628.68
Dwight Howard31ATL,13.5,12.7,1.4,0.9,1.2,0.633,0,0.533,617.76
Chris Wilcox23SEA,14.1,8.2,1.2,0.6,0.4,0.592,0,0.787,614.04
Allan Houston30NYK,20.4,3.3,2.5,0.7,0.1,0.437,0.393,0.87,574.56
Dirk Nowitzki*36DAL,17.3,5.9,1.9,0.5,0.4,0.459,0.38,0.882,568.32
Al Harrington28TOT,20.1,6.2,1.4,1.2,0.3,0.439,0.364,0.793,554.91
Oliver Miller25TOR,12.9,7.4,2.9,1.4,1.9,0.526,0,0.661,536.22
Shawn Kemp21SEA,15,8.4,1.8,1,1.5,0.508,0.167,0.661,529.76
Darrell Griffith25UTA,20,4.1,3.5,1.4,0.3,0.49,0.361,0.696,520.03
Elfrid Payton23ORL,13,4,6.3,1.5,0.4,0.52,0.373,0.632,517.66
Richard Jefferson26NJN,16.3,4.4,2.7,0.6,0.1,0.456,0.359,0.733,491.28
Raja Bell33GSW,11,2,3,0,0,0.667,1,0,473.8
Theo Ratliff29ATL,8.7,7.5,0.9,0.7,3.2,0.464,0,0.72,429.18
Michael Carter-Williams24MIL,11.5,5.1,5.2,1.5,0.8,0.452,0.273,0.654,423.95
Jabari Parker23TOT,14.5,6.6,2.4,0.7,0.5,0.493,0.313,0.712,416.95
Jordan Clarkson27TOT,15.2,2.6,1.9,0.6,0.2,0.454,0.368,0.836,415.2
Otis Thorpe35TOT,10.2,7.3,3,0.6,0.4,0.471,0,0.683,397.98
Mac McClung24PHI,12.5,5,4.5,0,0,0.45,0.364,0.6,393.6
Rashard Lewis31ORL,12.2,4.2,1.2,0.9,0.4,0.419,0.367,0.756,356.4
T.J. Warren27IND,15.5,3.5,1.3,0.5,0,0.529,0,0.8,339.88
Eddie Griffin22MIN,7.5,6.5,0.8,0.3,1.7,0.387,0.328,0.718,338.67
Bison Dele22ORL,9.1,5.7,0.7,0.9,1.1,0.528,0,0.669,323.19
Chris Dudley25NJN,7.1,8.4,0.6,0.6,2.5,0.408,0,0.534,322.56
Elton Brand33DAL,7.2,6,1,0.7,1.3,0.473,0,0.71,322.24
Dewayne Dedmon31MIA,7.1,5.4,0.8,0.6,0.4,0.708,0.2,0.741,320.95
Mark Eaton31UTA,7,8.7,0.7,0.5,3.7,0.418,0,0.623,316.35
Doug Christie23LAL,10.3,3.6,2.1,1.4,0.4,0.434,0.328,0.697,314.55
Ramon Sessions28WAS,7.4,2.7,3.1,0.6,0,0.411,0.406,0.812,286.65
James Wiseman19GSW,11.5,5.8,0.7,0.3,0.9,0.519,0.316,0.628,280.34
Louis Orr28NYK,7,3.6,1.7,0.7,0.3,0.427,0.2,0.727,244.2
Mike O'Koren24NJN,6.7,2.5,1.8,0.9,0.2,0.525,0.222,0.708,234.5
Eric Murdock27MIL,6.9,1.6,3.9,0.7,0,0.364,0.261,0.667,222.56
Michael Cooper33LAL,6.4,2.8,2.7,0.8,0.5,0.387,0.318,0.883,221.76
Mike Muscala27TOT,7,3.8,1.2,0.3,0.6,0.402,0.348,0.824,220.32
Tariq Abdul-Wahad27DEN,6.8,3.9,1.1,0.9,0.5,0.379,0.5,0.75,215.27
J.R. Reid27TOT,6.6,3.9,0.6,0.7,0.3,0.494,0,0.754,214.12
Leandro Barbosa31PHO,7.5,1.9,1.6,0.4,0.2,0.427,0.28,0.795,211.6
Andre Spencer29TOT,5.7,2.6,0.8,0.7,0.3,0.441,0,0.714,195
Voshon Lenard32TOT,7.3,1.8,1.6,0.8,0.2,0.393,0.321,0.516,191.84
Randy Brown26SAC,4.7,1.6,2,1.5,0.3,0.432,0.298,0.671,191.16
Jeff Green33UTA,7.8,2.7,0.7,0.4,0.3,0.385,0.327,0.778,184
Chris Wilcox23LAC,4.5,3.6,0.4,0.3,0.4,0.536,0,0.644,180.84
Ernie Grunfeld30NYK,5.4,2.7,1.6,0.5,0.2,0.417,0.426,0.833,180.32
Cherokee Parks28WAS,3.7,3.1,0.5,0.5,0.8,0.474,0,0.706,178.1
Damon Jones22NJN,4.5,1.2,1.2,0.6,0,0.318,0.345,0.846,171.36
Terrance Ferguson20OKC,6.9,1.9,1,0.5,0.2,0.429,0.366,0.725,167.04
Jameer Nelson35TOT,4.9,2.1,3.6,0.5,0.1,0.389,0.331,0.8,164.43
Damyean Dotson26CLE,6.7,2,2,0.3,0.1,0.406,0.289,0.667,159.57
Don Reid26TOT,3.8,2.7,0.3,0.6,0.8,0.536,0,0.706,158.51
Vince Carter38MEM,5.8,2,1.2,0.7,0.2,0.333,0.297,0.789,158.4
Brandon Boston Jr.21LAC,6.5,1.4,0.9,0.4,0,0.418,0.414,0.763,151.42
Rick Mahorn34NJN,3.9,3.8,0.4,0.3,0.4,0.472,0.333,0.8,150.38
Montrezl Harrell22HOU,3.6,1.7,0.4,0.3,0.3,0.644,0,0.522,141.62
Theo Ratliff35PHI,1.9,2.8,0.2,0.4,1,0.531,0,0.6,141.12
Rodney Buford22MIA,4.3,1.4,0.6,0.3,0.2,0.411,0.241,0.727,127.68
Antonio Burks24MEM,3,0.5,1.2,0.5,0,0.467,0.273,0.737,116.48
Johan Petro25NJN,3.5,2.8,0.6,0.4,0.4,0.445,0,0.536,114.84
Carlos Delfino23DET,3.6,1.7,0.6,0.3,0.2,0.403,0.333,0.672,113.42
Jerome James32NYK,2,1.5,0,0,0,1,0,1,113.25
Dwight Powell23TOT,3.1,1.7,0.3,0.3,0.2,0.463,0.273,0.758,111.78
Anthony Tolliver34TOT,3.6,2.8,0.8,0.3,0.2,0.357,0.338,0.724,111.3
José Calderón35LAL,3.3,1.8,2.1,0.3,0,0.416,0.353,1,111.02
Sleepy Floyd34NJN,4.1,1.1,2.6,0.3,0.1,0.335,0.284,0.698,108.99
Johnny O'Bryant23TOT,3.5,1.7,0.5,0,0.1,0.5,0.5,0.833,108.77
Tyronn Lue30DAL,3.8,0.8,0.9,0,0.1,0.474,0.529,0.25,92.92
Isaiah Hicks23NYK,4.4,2.3,0.9,0.1,0.2,0.458,0.222,0.667,90.44
