Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
LeBron James23CLE,30,7.9,7.2,1.8,1.1,0.484,0.315,0.712,1175.64
Luka Dončić20DAL,28.8,9.4,8.8,1,0.2,0.463,0.316,0.758,927.36
LeBron James35LAL,25.3,7.8,10.2,1.2,0.5,0.493,0.348,0.693,882.3
Carmelo Anthony25DEN,28.2,6.6,3.2,1.3,0.4,0.458,0.316,0.83,848.04
Jason Kidd*29NJN,18.7,6.3,8.9,2.2,0.3,0.414,0.341,0.841,830.28
Richard Jefferson23NJN,18.5,5.7,3.8,1.1,0.3,0.498,0.364,0.763,691.42
Kristaps Porziņģis22NYK,22.7,6.6,1.2,0.8,2.4,0.439,0.395,0.793,660.96
Kyrie Irving19CLE,18.5,3.7,5.4,1.1,0.4,0.469,0.399,0.872,652.7
Rolando Blackman30DAL,19.4,3.5,3.6,1,0.3,0.498,0.302,0.844,623.9
Russell Westbrook21OKC,16.1,4.9,8,1.3,0.4,0.418,0.221,0.78,610.54
DeMar DeRozan25TOR,20.1,4.6,3.5,1.2,0.2,0.413,0.284,0.832,609
Josh Smith23ATL,15.6,7.2,2.4,1.4,1.6,0.492,0.299,0.588,603.72
Anderson Varejão29CLE,10.8,11.5,1.7,1.4,0.7,0.514,0,0.672,593.46
Andre Miller29DEN,13.7,4.3,8.2,1.3,0.2,0.463,0.185,0.738,587.12
Calvin Natt27POR,16.2,6,2.3,0.9,0.3,0.583,0.118,0.797,564.46
Lou Williams32LAC,20,3,5.4,0.8,0.1,0.425,0.361,0.876,563.92
Bryant Reeves23VAN,16.2,8.1,2.1,0.4,0.9,0.486,0.091,0.704,532.8
Stephen Jackson32CHA,18.5,4.5,3.6,1.2,0.4,0.411,0.337,0.816,524.14
Ron Harper27LAC,19.6,4.8,5.4,1.7,0.9,0.391,0.324,0.668,514.75
Jason Kidd*21DAL,11.7,5.4,7.7,1.9,0.3,0.385,0.272,0.698,510.38
Cuttino Mobley24HOU,15.8,3.6,2.6,1.1,0.4,0.43,0.356,0.847,492.8
