Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
Hersey Hawkins24PHI,22.1,3.9,3.7,2.2,0.5,0.472,0.4,0.871,754.66
Mike Bibby27SAC,21.1,2.9,5.4,1,0.1,0.432,0.386,0.849,690.94
Clarence Weatherspoon25PHI,16.7,9.7,2,1.4,1.4,0.484,0,0.746,678.87
Ty Lawson24DEN,16.4,3.7,6.6,1.3,0.1,0.488,0.365,0.824,675.12
Jason Terry23ATL,19.7,3.3,4.9,1.3,0.1,0.436,0.395,0.846,652.21
Otis Thorpe28HOU,17.5,10.3,2.4,0.9,0.2,0.556,0.429,0.696,638.12
Dwight Howard31ATL,13.5,12.7,1.4,0.9,1.2,0.633,0,0.533,617.76
Armen Gilliam27PHI,16.9,8.1,1.5,0.6,1,0.511,0,0.807,615.6
Horace Grant29ORL,12.8,9.7,2.3,1,1.2,0.567,0,0.692,615.16
Dwyane Wade*22MIA,16.2,4,4.5,1.4,0.6,0.465,0.302,0.747,614.24
Tom Gugliotta25MIN,14.4,7.2,4.5,2,0.9,0.454,0.318,0.762,603.52
Detlef Schrempf28IND,16.1,8,3.7,0.7,0.3,0.52,0.375,0.818,597.06
Theo Ratliff27PHI,12.4,8.3,1.2,0.6,3.7,0.499,0,0.76,586.8
Rasheed Wallace23POR,14.6,6.2,2.5,1,1.1,0.533,0.205,0.662,560.24
Hersey Hawkins28CHH,14.3,3.8,3.2,1.5,0.2,0.482,0.44,0.867,542.79
John Salmons30TOT,15.4,3.3,2.8,1.2,0.3,0.441,0.382,0.83,513.03
Jeff Ruland23WSB,14.4,9.3,1.6,0.5,0.7,0.561,0.333,0.752,507.6
Chauncey Billups22DEN,13.9,2.1,3.8,1.3,0.3,0.386,0.362,0.913,499.81
Roy Hibbert26IND,11.9,8.3,1.4,0.5,2.6,0.448,0.25,0.741,496.51
Emeka Okafor27NOH,10.4,9,0.7,0.7,1.5,0.53,0,0.562,476.85
Robert Williams25BOS,8,8.3,1.4,0.6,1.4,0.747,0,0.61,465.3
Norman Powell29LAC,17,2.9,1.8,0.8,0.3,0.479,0.397,0.812,446.31
Roy Hibbert24IND,12.7,7.5,2,0.4,1.8,0.461,0,0.745,440.43
Ray Williams28KCK,15.4,4.5,7.9,1.7,0.4,0.392,0.203,0.769,433.44
Robert Covington24PHI,13.5,4.5,1.5,1.4,0.4,0.396,0.374,0.82,410.13
Terry Porter36SAS,9.4,2.8,3.3,0.7,0.1,0.447,0.435,0.806,393.42
Chauncey Billups21BOS,11.1,2.2,4.3,1.5,0,0.39,0.339,0.817,391.16
James Donaldson32DAL,9.1,8.6,0.8,0.3,0.6,0.539,0,0.7,378.2
Allan Houston25NYK,14.8,3,2.2,0.5,0.2,0.423,0.385,0.803,374.03
Michael Smith27WAS,6.3,7.2,1.2,0.6,0.5,0.563,0,0.723,361.05
Carl Landry32PHI,9.8,4.1,0.9,0.3,0.3,0.556,0.462,0.736,353.92
Bill Laimbeer36DET,9.8,5.1,1.3,0.5,0.4,0.522,0.333,0.846,351
Vincent Askew28SEA,9.9,2.5,2.5,0.7,0.2,0.492,0.33,0.739,329.12
Tony Battie24BOS,6.5,5.8,0.4,0.7,1.5,0.537,0,0.638,320.72
Malik Rose26SAS,7.7,5.4,0.8,1,0.7,0.435,0.176,0.713,316.72
Kelly Olynyk22BOS,8.7,5.2,1.6,0.5,0.4,0.466,0.351,0.811,304
James Ennis III30ORL,8.4,4,1.5,0.8,0.2,0.473,0.433,0.805,300
Matt Geiger25MIA,8.3,5.6,0.7,0.6,0.7,0.536,0.4,0.65,297.99
Gerald Henderson26BOS,10.2,1.9,3.1,1,0.1,0.501,0.167,0.727,297
