Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
LeBron James37LAL,30.3,8.2,6.2,1.3,1.1,0.524,0.359,0.756,974.64
DeMarcus Cousins26SAC,27.8,10.6,4.8,1.4,1.3,0.452,0.356,0.77,911.6
Chris Paul31LAC,18.1,5,9.2,2,0.1,0.476,0.411,0.892,825.3
Gary Payton*34MIL,19.6,3.1,7.4,1.4,0.3,0.466,0.294,0.746,795.4
Bob Lanier*31DET,21.7,10.1,3.3,1,1.6,0.546,0,0.781,763.28
Andre Iguodala25PHI,18.8,5.7,5.3,1.6,0.4,0.473,0.307,0.724,734.16
Grant Hill*22DET,19.9,6.4,5,1.8,0.9,0.477,0.148,0.732,727.7
Michael Finley29DAL,19.3,5.8,3,1.1,0.3,0.425,0.37,0.861,674.08
Chauncey Billups32TOT,17.7,3,6.4,1.2,0.2,0.418,0.408,0.913,663.64
Kerry Kittles23NJN,17.2,4.7,2.3,1.7,0.5,0.44,0.418,0.808,638.75
Toni Kukoč*26CHI,15.7,5.4,4.6,1.3,0.2,0.504,0.313,0.748,631.62
Derrick Coleman23NJN,18.4,10.3,2.2,1,1.3,0.467,0.342,0.731,619.52
Stephen Curry23GSW,14.7,3.4,5.3,1.5,0.3,0.49,0.455,0.809,597.84
Scott Wedman27KCK,19,5.7,2.1,1.2,0.7,0.512,0.318,0.801,583.05
Devin Harris27TOT,15.2,2.4,7.1,1,0.1,0.422,0.322,0.833,545.24
Troy Murphy25GSW,14,10,1.4,0.6,0.4,0.433,0.32,0.787,540.6
Spencer Dinwiddie28DAL,15.8,3.1,3.9,0.7,0.3,0.498,0.404,0.725,537.7
Tyreke Evans24NOP,14.5,4.7,5,1.2,0.3,0.436,0.221,0.771,518.88
Billy Owens26MIA,14.8,7.2,3.4,0.8,0.6,0.505,0,0.633,513.56
Antonio McDyess34DET,9.6,9.8,1.3,0.7,0.8,0.51,0,0.698,499.66
Brian Grant23SAC,14.4,7,1.6,0.5,1.3,0.507,0.235,0.732,485.06
Bill Cartwright24NYK,14.4,5.8,1.2,0.7,0.9,0.562,0,0.763,466.18
Al Horford21ATL,10.1,9.7,1.5,0.7,0.9,0.499,0,0.731,461.58
Shane Battier28HOU,10.1,4.1,2.1,1,0.7,0.446,0.421,0.779,436.8
Kevin Johnson31PHO,9.5,3.3,4.9,0.5,0.2,0.447,0.154,0.871,402.48
James Edwards27CLE,12.3,6.4,0.9,0.5,0.9,0.487,0,0.623,374.85
Ben Gordon21CHI,15.1,2.6,2,0.6,0.1,0.411,0.405,0.863,363.56
J.R. Smith21DEN,13,2.3,1.4,0.8,0.1,0.441,0.39,0.81,363.48
Vin Baker32TOT,9.8,5.2,1.2,0.5,0.6,0.481,0.333,0.726,359.64
David Thompson*27DEN,14.9,2.4,1.9,0.6,0.5,0.486,0.286,0.814,359.04
Darryl Dawkins25PHI,11,6.4,1.1,0.4,1.1,0.564,0,0.695,351
Gerald Wallace30BRK,7.7,4.6,2.6,1.4,0.7,0.397,0.282,0.637,349.16
Cedric Ceballos28PHO,9.5,4.3,1,0.6,0.2,0.5,0.3,0.714,343.68
Danny Schayes23TOT,11.1,7.7,2.5,0.7,1.2,0.457,0,0.773,337.59
Eric Williams31TOT,10,4,1.7,1,0.1,0.386,0.276,0.76,332.5
Stanley Roberts21ORL,10.4,6.1,0.7,0.4,1.5,0.529,0,0.515,330.89
Kelly Olynyk30DET,9.1,4.4,2.8,0.8,0.5,0.448,0.336,0.775,318.97
Jae Crowder27UTA,11.8,3.8,1.5,0.9,0.3,0.386,0.316,0.768,298.08
Tom Garrick23LAC,7,2.2,4,1.2,0.1,0.494,0.19,0.772,278.48
Louis Orr24NYK,8.4,2.8,1.1,0.8,0.3,0.462,0,0.8,269.99
Malik Monk21CHO,10.3,2.9,2.1,0.5,0.3,0.434,0.284,0.82,268.38
Alonzo Gee22WAS,7.4,3,0.6,0.6,0.1,0.475,0.778,0.621,267.3
Walter Davis37DEN,9.9,1.5,1.5,0.6,0,0.459,0.313,0.872,267.26
Phil Ford27HOU,7.1,1.7,5.1,0.7,0.1,0.502,0.133,0.838,258.96
Anthony Bowie25SAS,8.6,3.1,1.6,1,0.2,0.5,0.2,0.667,257.58
Jonas Jerebko27TOT,6,3.8,0.9,0.6,0.2,0.446,0.386,0.848,246
Byron Scott35LAL,6.7,1.5,1.3,0.6,0.2,0.43,0.388,0.841,245.7
Ryan Lorthridge22GSW,7.4,1.9,2.7,0.8,0,0.475,0.214,0.648,234.78
Chris Crawford27ATL,4.8,1.4,0.2,0.4,0.6,0.615,0.333,0.875,218.88
Antoine Carr24ATL,6.8,3.1,0.8,0.4,0.9,0.527,0,0.667,218.88
Shawn Bradley29DAL,4.1,3.3,0.4,0.5,1.2,0.479,0,0.922,208.78
Brandon Davies23PHI,6.3,3.7,1.4,0.9,0.2,0.412,0.233,0.636,203.3
Ronnie Lester25CHI,5.4,1.1,3.9,0.7,0.1,0.415,0.2,0.862,200
Danny Young27POR,4.7,1.5,2.8,1,0,0.421,0.271,0.813,195.5
Chuck Person34CHH,6.1,2.6,1.2,0.4,0.2,0.388,0.35,0.75,190.08
Lawrence Funderburke30SAC,4.9,3.3,0.3,0.2,0.2,0.496,0,0.623,189.98
Jerome Lane23DEN,5,5.4,1.6,0.8,0.3,0.469,0,0.367,183.04
Marlon Maxey24MIN,4.5,3.6,0.2,0.3,0.6,0.533,0,0.714,175.56
Dewayne Dedmon33TOT,5.2,3.5,0.7,0.2,0.5,0.51,0.308,0.673,173.6
Steve Colter24CHI,4.9,1.6,3.5,0.7,0.2,0.345,0,0.846,171.5
Andre Barrett23TOT,4.6,1.3,2.7,0.5,0,0.365,0.143,0.75,167.24
Greg Sutton28PHI,6.3,1.2,2.1,0.6,0.1,0.389,0.417,0.741,162.75
Ike Diogu25TOT,4.1,1.9,0.1,0.1,0.1,0.527,0.5,0.755,150.22
Jordan Bell24GSW,3.3,2.7,1.1,0.3,0.8,0.516,0,0.61,149.64
Mike Brown25UTA,4.5,3.9,0.6,0.4,0.3,0.419,0,0.708,133.56
Jeremy Pargo26PHI,4.9,1.2,2,0.1,0,0.381,0.412,0.667,125.16
Steve Kerr35SAS,3.3,0.6,1,0.3,0,0.421,0.429,0.933,125.08
Josh Gray24PHO,6.4,2,2.4,1.6,0.4,0.268,0.231,0.636,123.84
JaKarr Sampson27IND,4.6,2.7,0.1,0.1,0.5,0.496,0.2,0.655,118.81
Jerome Kersey36SAS,3.2,2.9,0.9,0.8,0.3,0.34,0.214,0.429,114.7
Corie Blount31PHO,2.8,3,0.3,0.4,0.2,0.494,0,0.576,105.3
Reggie Jackson21OKC,3.1,1.2,1.6,0.6,0,0.321,0.21,0.862,102.12
Vernon Carey Jr.20TOT,2.9,1.7,0,0.3,0.1,0.538,0,0.462,99.54
Cuonzo Martin24VAN,2.3,0.5,0.5,0.3,0,0.6,1,0,98.88
Kennard Winchester25NYK,2.2,1,0.5,0.1,0.1,0.444,0.5,0.8,92.02
Alize Johnson23IND,2,2.8,0.4,0.2,0.1,0.414,0.375,0.7,91.77
Tod Murphy28MIN,2.1,2.3,0.2,0.2,0.2,0.488,0.5,0.559,86.45
Chris Richard25CHI,2.1,3.3,0.4,0.4,0.2,0.517,0,0.636,80.6
Anthony Jones26TOT,2.3,0.8,0.5,0.3,0.1,0.367,0.25,0.875,79.06
Dragan Tarlać27CHI,2.4,2.8,0.7,0.2,0.4,0.394,0,0.758,77.84
Tony Dumas24DAL,4,0.8,1.2,0.6,0.1,0.351,0.125,0.652,76.86
Glenn Robinson III21TOT,2.1,1.1,0.3,0.2,0,0.388,0.263,0.667,63.75
Kevin Lynch24CHH,2.2,0.9,0.6,0.3,0.2,0.508,0,0.684,61.56
Rafer Alston23MIL,2.2,0.9,2.6,0.4,0,0.284,0.214,0.75,57.62
Greivis Vásquez30BRK,2.3,0.7,1.7,0.3,0.3,0.25,0.333,0.667,53.3
Mike Peplowski24DET,1.8,0.5,0.2,0.2,0,1,0,0.5,53.2
John Edwards24ATL,1.8,1.2,0.1,0.1,0.4,0.484,0,0.727,47.36
Terry Duerod26GSW,3.6,0.6,1,0.4,0.2,0.474,0,0,41.16
Rodney Buford26SAC,1.9,0.7,0.3,0.3,0,0.339,0,0.5,39.68
Pétur Guðmundsson30SAS,4.2,3.2,1,0.2,0.2,0.36,0,0.75,37.8
Chris Chiozza23HOU,0.9,0.6,0.6,0.1,0.1,0.25,0.4,0,32.9
