Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
Kevin Martin23SAC,20.2,4.3,2.2,1.2,0.1,0.473,0.381,0.844,707.52
Vlade Divac*30SAC,14.3,10,4.3,0.9,1,0.47,0.256,0.702,633.6
Paul George29LAC,21.5,5.7,3.9,1.4,0.4,0.439,0.412,0.876,624.56
Reggie Miller*36IND,16.5,2.8,3.2,1.1,0.1,0.453,0.406,0.911,603.9
Isiah Thomas*29DET,16.2,3.3,9.3,1.6,0.2,0.435,0.292,0.782,600.3
Mike Miller27MEM,16.4,6.7,3.4,0.5,0.2,0.502,0.432,0.774,568.33
Reggie Theus24CHI,18.4,3.8,5.8,1.1,0.2,0.469,0.25,0.808,560.52
Julius Randle27NYK,20.1,9.9,5.1,0.7,0.5,0.411,0.308,0.756,554.21
Brandon Knight23TOT,17,3.9,5.2,1.4,0.2,0.422,0.389,0.874,552.33
Devin Harris27TOT,15.2,2.4,7.1,1,0.1,0.422,0.322,0.833,545.24
Ron Harper24CLE,15.4,3.9,4.9,2.1,0.9,0.464,0.15,0.705,532.86
Ryan Anderson27NOP,17,6,1.1,0.6,0.4,0.427,0.366,0.873,522.88
Alvan Adams28PHO,14.2,6.9,4.7,1.4,0.9,0.486,0.333,0.829,514.08
Charles Oakley33NYK,10.8,9.8,2.8,1.4,0.3,0.488,0.263,0.808,509.78
Shaquille O'Neal*35MIA,14.2,7.8,1.4,0.6,1.6,0.581,0,0.494,506.22
Erick Strickland26DAL,12.8,4.8,3.1,1.5,0.2,0.433,0.392,0.831,491.7
JJ Redick31LAC,16.3,1.9,1.4,0.6,0.1,0.48,0.475,0.888,490
Dario Šarić23PHI,14.6,6.7,2.6,0.7,0.3,0.453,0.393,0.86,467.68
Seth Curry31TOT,15,3.1,3.6,0.8,0.2,0.487,0.422,0.872,456.21
Grant Hill*38PHO,13.2,4.2,2.5,0.8,0.4,0.484,0.395,0.829,442.47
Devonte' Graham25CHO,14.8,2.7,5.4,0.9,0.1,0.377,0.375,0.842,440.92
D'Angelo Russell20LAL,15.6,3.5,4.8,1.4,0.3,0.405,0.352,0.782,439.11
Cliff Robinson28PHI,15.1,5.4,2.3,1.2,0.1,0.481,0,0.727,418.77
J.R. Smith25DEN,12.3,4.1,2.2,1.2,0.2,0.435,0.39,0.738,408.36
Jared Dudley25PHO,10.6,3.9,1.3,1.1,0.2,0.477,0.415,0.743,407.16
Mark Aguirre30DET,14.1,3.9,1.9,0.4,0.2,0.488,0.333,0.756,406.06
Sam Mack28VAN,12.7,2.8,1.2,1.1,0.1,0.406,0.389,0.933,404.32
Jabari Parker23CHI,14.3,6.2,2.2,0.6,0.4,0.474,0.325,0.731,389.82
Jerry Sichting26IND,9.3,2,5.6,1.3,0,0.478,0.167,0.86,365.04
Victor Oladipo29MIA,12.4,2.9,3.5,0.6,0.1,0.479,0.417,0.737,362.88
Charles Oakley35TOR,7,7.5,3.4,0.9,0.4,0.428,0.2,0.807,353.16
Devonte' Graham26NOP,11.9,2.3,4.2,0.9,0.2,0.363,0.341,0.843,343.64
Marreese Speights25CLE,10.2,5.1,0.7,0.4,0.7,0.457,0.2,0.806,336.7
Richard Jefferson21NJN,9.4,3.7,1.8,0.8,0.6,0.457,0.232,0.713,325.62
Andray Blatche21WAS,7.5,5.2,1.1,0.6,1.4,0.474,0.231,0.695,316.2
Quentin Richardson28NYK,10.2,4.4,1.6,0.7,0.1,0.393,0.365,0.761,305.08
Kent Benson29DET,7.1,5,1.6,0.9,0.6,0.55,0,0.822,295.4
Dwyane Wade*36MIA,12,3.4,3.1,0.9,0.7,0.409,0.22,0.745,290.82
