Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
LeBron James22CLE,27.3,6.7,6,1.6,0.7,0.476,0.319,0.698,1002.05
Shawn Marion25PHO,19,9.3,2.7,2.1,1.3,0.44,0.34,0.851,809.93
Ron Harper26CLE,22,6.9,7,2,1.3,0.442,0.2,0.756,796.62
Anderson Varejão30CLE,14.1,14.4,3.4,1.5,0.6,0.478,0,0.755,781.2
Cuttino Mobley26HOU,21.7,4.1,2.5,1.5,0.5,0.438,0.395,0.85,703.07
Reggie Miller*27IND,21.2,3.1,3.2,1.5,0.3,0.479,0.399,0.88,698.4
Andre Drummond22DET,16.2,14.8,0.8,1.5,1.4,0.521,0.333,0.355,697.48
Peja Stojaković28IND,19.5,6.3,1.7,0.7,0.2,0.461,0.404,0.903,695.24
Shaquille O'Neal*36PHO,17.8,8.4,1.7,0.7,1.4,0.609,0,0.595,669
Calvin Natt25POR,17.7,8.2,2,0.8,0.5,0.576,0.25,0.75,659.3
Steve Francis26HOU,16.6,5.5,6.2,1.8,0.4,0.403,0.292,0.775,638.32
Anderson Varejão29CLE,10.8,11.5,1.7,1.4,0.7,0.514,0,0.672,593.46
Ron Harper28LAC,18.2,5.5,5.1,1.9,0.9,0.44,0.303,0.736,589.82
Norm Nixon29LAC,17.2,2.7,8.8,1.2,0,0.465,0.333,0.78,556.92
Ja Morant20MEM,17.8,3.9,7.3,0.9,0.3,0.477,0.335,0.776,539.4
Jeff Teague23ATL,12.6,2.4,4.9,1.6,0.6,0.476,0.342,0.757,522.98
Andrew Wiggins25GSW,18.6,4.9,2.4,0.9,1,0.477,0.38,0.714,499.5
Mike Miller22TOT,15.6,5.2,2.6,0.6,0.3,0.434,0.363,0.839,493.92
Scottie Pippen*23CHI,14.4,6.1,3.5,1.9,0.8,0.476,0.273,0.668,493.19
Scottie Pippen*36POR,10.6,5.2,5.9,1.6,0.6,0.411,0.305,0.774,479.78
David Wesley25BOS,12.3,3.2,4.8,1.2,0.1,0.459,0.426,0.753,475.45
Doug Christie33SAC,10.1,4,4.2,1.8,0.5,0.461,0.345,0.86,474.6
Kyle Kuzma23LAL,18.7,5.5,2.5,0.6,0.4,0.456,0.303,0.752,463.4
Tom Chambers32PHO,16.3,5.8,2.1,0.8,0.5,0.431,0.367,0.83,448.38
Wayman Tisdale22IND,14.5,5.9,1.4,0.6,0.3,0.513,0,0.709,435.21
John Bagley27NJN,12,3.1,5.8,1.3,0.1,0.439,0.292,0.822,419.12
Troy Murphy26TOT,10.3,6.1,1.9,0.7,0.6,0.458,0.395,0.745,394.4
Benoit Benjamin22LAC,11.5,8.1,1.9,0.8,2.6,0.449,0,0.715,390.6
Corey Brewer23MIN,13,3.4,2.4,1.4,0.4,0.431,0.346,0.648,366.63
Kyle O'Quinn27NYK,7.1,6.1,2.1,0.5,1.3,0.583,0.235,0.772,360
Otto Porter Jr.28GSW,8.2,5.7,1.5,1.1,0.5,0.464,0.37,0.803,352.98
Earl Boykins23ORL,6,1,3,0,0,0.75,0,0,352
Boris Diaw25PHO,8.8,4.6,3.9,0.7,0.5,0.477,0.317,0.744,337.2
Donte DiVincenzo23MIL,9.2,4.8,2.3,1.3,0.3,0.455,0.336,0.733,324.3
Jakob Poeltl23SAS,5.5,5.3,1.2,0.4,0.9,0.645,0,0.533,320.1
Michael Kidd-Gilchrist24CHO,9.2,4.1,1,0.7,0.4,0.504,0,0.684,312.5
Will Bynum30DET,9.8,1.5,3.6,0.7,0.1,0.469,0.316,0.809,312.08
Jeff Cook24PHO,8.5,5.9,2.5,1,0.7,0.464,0,0.645,310.24
Amir Coffey24LAC,9,2.9,1.8,0.6,0.2,0.453,0.378,0.863,295.1
Marty Conlon26TOT,7.8,4.6,1.1,0.3,0.3,0.576,0,0.811,289.5
Anthony Mason27NYK,7.2,5.8,2.1,0.4,0.1,0.476,0,0.72,281.88
Reggie Williams25CHA,8.3,2.8,1.8,0.6,0.1,0.416,0.308,0.725,280.24
A.J. Price26WAS,7.7,2,3.6,0.6,0.1,0.39,0.35,0.79,277.76
Calbert Cheaney32GSW,7.6,3.3,1.7,0.8,0.2,0.481,0,0.61,277.72
Bill Laimbeer24CLE,6.7,5.5,0.9,0.4,0.6,0.47,0.5,0.775,254.18
Carl Landry31SAC,7.2,3.8,0.4,0.2,0.2,0.515,0,0.82,253.3
Theo Ratliff22DET,4.5,4,0.2,0.2,1.5,0.557,0,0.708,243.6
Steve Colter22POR,7.1,1.9,3.1,1,0.1,0.453,0.351,0.754,233.75
Nick Fazekas22LAC,4.7,3.9,0.5,0.4,0.5,0.571,0,0.682,233.64
LaPhonso Ellis31MIA,7.1,4.3,0.8,0.5,0.6,0.418,0.306,0.631,232.05
A.C. Green35DAL,4.9,4.6,0.5,0.6,0.2,0.422,0,0.577,231.25
Terry Porter22POR,7.1,1.5,2.5,1,0,0.474,0.31,0.806,227.92
Jawann Oldham30SAC,5.5,5.6,0.6,0.2,2,0.476,0,0.678,225.75
Bimbo Coles28GSW,6.1,2.3,2.9,0.7,0.1,0.389,0.294,0.755,220.4
JaVale McGee28DAL,5.1,3.9,0.1,0.1,0.8,0.575,0,0.5,216.91
Žarko Čabarkapa23TOT,6,2.6,0.6,0.3,0.1,0.486,0.361,0.815,201.11
David Andersen30TOR,5.1,3.1,0.6,0.3,0.3,0.489,0.3,1,187.68
Cory Joseph21SAS,4.5,1.9,1.9,0.5,0.1,0.464,0.286,0.857,187.65
David Benoit23UTA,5.6,3.8,0.4,0.2,0.6,0.467,0.214,0.81,182.71
Kosta Koufos21DEN,4.9,3,0,0.2,0.5,0.5,0,0.632,180.67
Stacey King27CHI,5.5,4.3,1.3,0.6,0.4,0.398,0,0.679,179.92
Casey Jacobsen23PHO,5.3,1.7,0.9,0.3,0,0.414,0.382,0.774,161.28
Dirk Minniefield27BOS,3.2,1.2,3.1,0.7,0,0.48,0.273,0.844,137.74
Ennis Whatley26LAC,4.3,2,2.8,0.9,0.1,0.364,0,0.909,136.73
Tony Smith23LAL,4.4,1.2,1.7,0.6,0.1,0.399,0,0.653,131.3
Dave Feitl26WSB,5,3.5,0.6,0.3,0.3,0.436,0,0.831,126.15
Johnny Moore29SAS,2,1,2.8,0.8,0,0.444,0,0,115.2
Perry Moss28GSW,3.6,1.5,1.4,0.7,0,0.44,0.071,0.71,111.18
Luke Jackson25TOT,3.7,0.8,1,0.4,0.1,0.442,0.294,0.556,109.18
Melvin Ely29NOH,3.9,2.8,0.4,0.1,0.3,0.472,0,0.552,107.1
Anthony Johnson25ORL,3.4,0.7,0.7,0.6,0.1,0.426,0.2,0.6,105.91
Ryan Hollins27CLE,3.7,2.3,0.3,0.2,0.5,0.5,0,0.6,105.7
Rex Walters28MIA,3.1,1.5,1.8,0.3,0.1,0.368,0.316,0.826,105.57
Darrick Martin34TOR,2.6,0.5,1.4,0.4,0,0.351,0.4,0.75,97.75
Clay Johnson26LAL,3,1.4,0.5,0.5,0.1,0.393,0,0.792,87.42
Calvin Booth32TOT,2,1.4,0,0.1,0.3,0.5,0,0.75,79.8
Miles Plumlee28MIL,2.6,1.7,0.6,0.3,0.3,0.441,0,0.629,77.6
Chris King24SEA,3.7,1,0.7,0.3,0,0.396,0.286,0.577,74.67
Scott Wedman34BOS,3.3,1.5,1,0.3,0.3,0.333,0.5,0.5,74.1
Scott Brooks31NYK,1.5,0.5,0.8,0.6,0,0.487,0.417,0.933,72.6
James Ray24DEN,3.1,1.6,0.7,0.3,0.4,0.44,1,0.583,67.32
Eric Williams34TOT,2.6,0.8,0.3,0.1,0,0.404,0.421,0.571,66.12
Earl Boykins22CLE,2.6,0.8,1.6,0.3,0,0.345,0.154,0.667,65
Alex Len20PHO,2,2.4,0.1,0.1,0.4,0.423,0,0.645,62.78
Bobby Cattage27NJN,3.2,1.2,0.1,0.2,0,0.337,0.2,0.795,62.72
Eldridge Recasner33CHH,2.4,1.2,0.9,0.1,0,0.333,0.333,0.778,58.28
Bill Martin24NYK,3.1,0.9,0,0.5,0.3,0.36,0,0.875,52.7
Daequan Cook25TOT,2.8,1.2,0.4,0.2,0.1,0.305,0.286,0.75,52.2
Maurice Martin23DEN,2.2,0.9,0.5,0.2,0.1,0.377,0.25,0.476,47.84
Joe Courtney27TOT,2.8,1.8,0,0,0,0.367,0,0.6,42.18
Brooks Thompson27PHO,2,0.4,0.2,0.3,0,0.37,0.313,0.333,39.9
Michael Ruffin30WAS,0.6,2.1,0.2,0.2,0.3,0.278,0,0.368,39.6
Craig Neal24POR,1.2,0.5,1.5,0.4,0,0.314,0.222,0.5,32.68
Matt Ryan24BOS,3,0,0,1,0,0.2,0.2,0,17.5
Dan Langhi26TOT,2.2,0.7,0,0,0,0.357,0.5,1,11.16
Michael Bradley24TOR,0.6,2.2,0.2,0.2,0,0.333,0,0.5,9.88
Donny Marshall27CLE,1.8,0.2,0,0.3,0,0.273,0,0.833,1.3
Kevin Ollie26ORL,1,1,0,0,0,0,0,0.5,-11.2
Duane Washington28LAC,0,0.5,1.3,0.3,0,0,0,0,-14.7
Butch Lee23CLE,1.3,1,1,0,0,0.182,0,0,-32
End NBA,,,,,,,,,
