Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
Anthony Davis21NOP,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,1111.88
Dominique Wilkins*29ATL,26.2,6.9,2.6,1.5,0.7,0.464,0.276,0.844,817.5
Bradley Beal27WAS,31.3,4.7,4.4,1.2,0.4,0.485,0.349,0.889,812.66
Jermaine O'Neal25IND,20.1,10,2.1,0.8,2.6,0.434,0.111,0.757,753.27
Paul George26IND,23.7,6.6,3.3,1.6,0.4,0.461,0.393,0.898,725.18
Glen Rice27MIA,22.3,4.6,2.3,1.4,0.2,0.475,0.41,0.855,724.96
Bernard King*24GSW,21.9,6.8,3.5,0.9,0.4,0.588,0.333,0.703,716.4
Jaylen Brown26BOS,26.6,6.9,3.5,1.1,0.4,0.491,0.335,0.765,685.69
Jalen Rose29TOT,20.4,4.5,4.3,0.9,0.5,0.455,0.362,0.839,638.4
Josh Howard25DAL,15.6,6.3,1.9,1.2,0.4,0.471,0.429,0.734,627.25
Jrue Holiday22PHI,17.7,4.2,8,1.6,0.4,0.431,0.368,0.752,626.25
Leandro Barbosa24PHO,18.1,2.7,4,1.2,0.2,0.476,0.434,0.845,601.68
Otis Birdsong29NJN,20.6,2.6,4.1,1.5,0.1,0.511,0.19,0.622,595.49
Jamal Murray25DEN,20,4,6.2,1,0.2,0.454,0.398,0.833,590.4
Victor Oladipo26IND,18.8,5.6,5.2,1.7,0.3,0.423,0.343,0.73,561.44
John Williams22WSB,13.7,7,4.3,1.7,0.9,0.466,0.268,0.776,552.72
Cliff Robinson23CLE,17.8,10.3,2.5,0.7,0.4,0.45,0.5,0.701,546.14
Domantas Sabonis22IND,14.1,9.3,2.9,0.6,0.4,0.59,0.529,0.715,543.12
Eddie Johnson29ATL,16.3,2.6,7.8,0.6,0.1,0.479,0.306,0.798,511.92
Eric Gordon20LAC,16.1,2.6,2.8,1,0.4,0.456,0.389,0.854,511.07
Troy Murphy22GSW,11.7,10.2,1.3,0.8,0.4,0.451,0.214,0.841,505.62
Tom Gugliotta23WSB,14.7,9.6,3.8,1.7,0.4,0.426,0.281,0.644,503.7
Peja Stojaković28SAC,16.5,5.3,2.2,0.6,0.1,0.403,0.397,0.933,503.2
Beno Udrih27SAC,12.9,2.8,4.7,1.1,0.1,0.493,0.377,0.837,492.98
Sly Williams23NYK,13.2,6.2,2.7,1.7,0.3,0.493,0.25,0.69,489.7
Clifford Robinson35DET,14.6,4.8,2.5,1.1,1.2,0.425,0.378,0.694,481.95
Dale Ellis35DEN,14.9,3.9,1.7,0.7,0.1,0.479,0.412,0.76,476.28
Dennis Rodman*29DET,8.2,12.5,1,0.8,0.7,0.493,0.2,0.631,465.65
Ricky Rubio27UTA,13.1,4.6,5.3,1.6,0.1,0.418,0.352,0.866,451.22
Reggie Williams29DEN,13,4.8,3.7,1.4,0.8,0.412,0.278,0.733,424.44
Marcus Thornton23TOT,12.8,3.5,1.8,0.9,0.1,0.434,0.367,0.788,400.95
