Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
LeBron James28MIA,26.8,8,7.3,1.7,0.9,0.565,0.406,0.753,1197.64
Shawn Marion24PHO,21.2,9.5,2.4,2.3,1.2,0.452,0.387,0.851,886.08
Luka Dončić21DAL,27.7,8,8.6,1,0.5,0.479,0.35,0.73,867.79
Hakeem Olajuwon*34HOU,23.2,9.2,3,1.5,2.2,0.51,0.313,0.787,830.82
Karl-Anthony Towns25MIN,24.8,10.6,4.5,0.8,1.1,0.486,0.387,0.859,780.78
Joe Dumars*29DET,23.5,1.9,4,1,0.1,0.466,0.375,0.864,707.52
Kareem Abdul-Jabbar*36LAL,21.5,7.3,2.6,0.7,1.8,0.578,0,0.723,698.64
Khyri Thomas24HOU,16.4,3.6,5,1.8,1.2,0.485,0.333,1,651.78
Grant Hill*30ORL,14.5,7.1,4.2,1,0.4,0.492,0.25,0.819,605.28
Jrue Holiday23NOP,14.3,4.2,7.9,1.6,0.4,0.447,0.39,0.81,574.56
Jack Sikma*24SEA,14.3,11.1,3.4,0.8,0.9,0.475,0,0.805,562.65
A.C. Green29LAL,12.8,8.7,1.4,1.1,0.5,0.537,0.348,0.739,560.72
Evan Fournier28ORL,19.7,2.9,3.7,1,0.3,0.461,0.388,0.797,551.46
Tyreke Evans21SAC,17.8,4.8,5.6,1.5,0.5,0.409,0.291,0.771,532.8
Michael Adams27DEN,15.5,2.8,6.3,1.5,0,0.402,0.366,0.85,525.14
Mark Jackson33IND,7.6,3.8,7.9,0.9,0.1,0.419,0.311,0.823,504.78
Jeremy Lamb26CHO,15.3,5.5,2.2,1.1,0.4,0.44,0.348,0.888,493.05
Jason Williams30MIA,12.3,2.4,4.9,0.9,0.1,0.442,0.372,0.867,477
RJ Barrett21NYK,20,5.8,3,0.6,0.2,0.408,0.342,0.714,472.65
RJ Barrett20NYK,17.6,5.8,3,0.7,0.3,0.441,0.401,0.746,467.66
Randy Smith32CLE,14.6,2.4,4.4,1.4,0.2,0.466,0.036,0.815,455.6
Lance Stephenson25MEM,14.2,4.4,2.8,0.7,0.2,0.474,0.355,0.815,454.86
Alec Burks28TOT,15,4.3,2.9,0.9,0.3,0.418,0.385,0.887,444.22
Wayne Cooper29DEN,13.1,7.8,1,0.5,2.9,0.466,0.429,0.795,441.73
Dan Dickau26TOT,12.5,2.5,4.9,1.1,0.1,0.405,0.347,0.833,438.06
Nick Anderson23ORL,14.1,5.5,1.5,1.1,0.6,0.467,0.293,0.668,425.82
Mike Bibby29SAC,13.5,3.7,5,1.3,0.1,0.406,0.393,0.742,425.25
Serge Ibaka31LAC,11.1,6.7,1.8,0.2,1.1,0.51,0.339,0.811,424.06
Jared Dudley27PHO,10.9,3.1,2.6,0.9,0.1,0.468,0.391,0.796,409.75
Isaiah Rider27POR,13.9,4.2,2.2,0.5,0.2,0.412,0.378,0.755,404.15
Dan Gadzuric26MIL,7.3,8.3,0.4,0.6,1.3,0.539,0,0.538,398.2
Billy Ray Bates24POR,13.8,2,2.5,1.1,0.1,0.487,0.259,0.854,391.79
Mason Plumlee26DEN,9.1,6.4,2.6,0.7,1.1,0.547,0,0.618,381.42
Tayshaun Prince34BOS,8.4,3.3,2,0.6,0.2,0.559,0.625,0.833,371.8
Jim Jackson22DAL,16.3,4.4,4.7,1.4,0.4,0.395,0.288,0.739,368.5
Darrell Walker24NYK,10.3,2.7,4.2,1.8,0.4,0.43,0,0.686,350
Michael Smith26VAN,4.8,7.3,1,1,0.4,0.535,0,0.594,327.47
Isaac Okoro21CLE,8.8,3,1.8,0.8,0.3,0.48,0.35,0.768,307.84
Metta World Peace32LAL,7.7,3.4,2.2,1.1,0.4,0.394,0.296,0.617,295.9
Al Harrington28GSW,12.4,5.6,2,1.4,0,0.329,0.393,0.5,292.16
Leon Wood28SAC,6.8,1.6,4.1,0.4,0,0.397,0.316,0.905,284.9
Rui Hachimura24LAL,9.6,4.7,0.7,0.2,0.4,0.485,0.296,0.721,284.48
T.R. Dunn24POR,6.9,4,1.8,1.2,0.4,0.436,0,0.757,281.25
Patrick Beverley24HOU,5.6,2.7,2.9,0.9,0.5,0.418,0.375,0.829,267.96
Eddie House27PHO,9.8,1.6,1.8,0.5,0.1,0.422,0.389,0.805,266
LaSalle Thompson29IND,7.6,6.9,1.8,0.8,0.8,0.488,0.2,0.692,265.44
Kyle Korver28UTA,7.2,2.1,1.7,0.5,0.2,0.493,0.536,0.796,254.37
Svi Mykhailiuk23OKC,10.3,3,1.8,0.8,0.2,0.438,0.336,0.7,243.8
Randy Foye31DEN,8.7,1.7,2.4,0.7,0.2,0.368,0.357,0.818,238.7
Ollie Johnson30CHI,7.7,2.1,2,0.7,0.3,0.497,0.091,0.882,238.62
