Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
Karl-Anthony Towns24MIN,26.5,10.8,4.4,0.9,1.2,0.508,0.412,0.796,898.35
Pau Gasol*29LAL,18.3,11.3,3.4,0.6,1.7,0.536,0,0.79,847.3
Karl Malone*38UTA,22.4,8.6,4.3,1.9,0.7,0.454,0.36,0.797,801.8
Moses Malone*32WSB,20.3,11.2,1.4,0.7,0.9,0.487,0.286,0.788,719.51
Orlando Woolridge25CHI,22.9,5.6,1.8,0.8,0.5,0.554,0,0.785,713.7
DeMar DeRozan24TOR,22.7,4.3,4,1.1,0.4,0.429,0.305,0.824,702.88
Jeff Ruland26WSB,18.9,11.1,4.4,0.8,0.7,0.569,0,0.685,659.6
LaMarcus Aldridge22POR,17.8,7.6,1.6,0.7,1.2,0.484,0.143,0.762,645.65
Vlade Divac*25LAL,14.2,10.8,3.9,1.2,1.4,0.506,0.191,0.686,639.2
Antonio McDyess23PHO,15.1,7.6,1.3,1.2,1.7,0.536,0,0.702,611.03
Jason Kidd*23TOT,10.9,4.5,9,2.3,0.4,0.403,0.37,0.679,603.33
Terrell Brandon28MIL,13.5,3.5,6.9,1.6,0.2,0.409,0.25,0.839,586.38
Jusuf Nurkić27POR,15,11.1,2.8,1.1,0.6,0.535,0.268,0.69,564
Rod Strickland23SAS,14.2,4.3,8,1.8,0.2,0.468,0.222,0.615,557.48
CJ McCollum31NOP,20.9,4.4,5.7,0.9,0.5,0.437,0.389,0.769,550.68
Terrell Brandon24CLE,13.3,2.8,5.4,1.6,0.2,0.448,0.397,0.855,547.91
Andrew Bogut22MIL,12.3,8.8,3,0.7,0.5,0.553,0.2,0.577,530.1
Malcolm Brogdon26MIL,15.6,4.5,3.2,0.7,0.2,0.505,0.426,0.928,509.08
Tony Parker*27SAS,16,2.4,5.7,0.5,0.1,0.487,0.294,0.756,506.76
Walker Kessler21UTA,9.2,8.4,0.9,0.4,2.3,0.72,0.333,0.516,494.5
Jay Humphries25PHO,12.7,3,7.1,1.2,0.1,0.545,0.188,0.741,491.38
John Starks29NYK,15.3,2.7,5.1,1.2,0.1,0.395,0.355,0.737,470.58
Seth Curry31TOT,15,3.1,3.6,0.8,0.2,0.487,0.422,0.872,456.21
Jason Thompson23SAC,12.5,8.5,1.7,0.5,1,0.472,0.1,0.715,455.3
Roy Hibbert24IND,12.7,7.5,2,0.4,1.8,0.461,0,0.745,440.43
Otis Smith26ORL,13.5,4.6,2.3,1.2,0.9,0.492,0.25,0.761,435.16
Dennis Scott29DAL,13.6,3.8,2.5,0.8,0.6,0.387,0.344,0.822,422.12
Jeff Green24TOT,13.3,4.8,1.4,0.7,0.5,0.449,0.303,0.811,417.96
Maurice Cheeks*33NYK,7.9,2.4,4.9,1.4,0.2,0.579,0.429,0.877,415.53
Raja Bell33TOT,11.8,3.8,2.2,0.7,0.3,0.459,0.444,1,414
Anthony Johnson30IND,8.4,2.8,4.8,0.9,0.2,0.445,0.38,0.752,396.11
Luke Ridnour31MIN,11.5,2.5,3.8,1,0.2,0.453,0.311,0.848,392.6
Greg Oden21POR,8.9,7,0.5,0.4,1.1,0.564,0,0.637,389.15
Alton Lister26MIL,9.9,8,1.6,0.6,2.1,0.538,0,0.588,387
Greivis Vásquez25NOH,8.9,2.6,5.4,0.9,0.1,0.43,0.319,0.821,366.36
Deron Williams32TOT,11,2.3,5.6,0.5,0.1,0.438,0.363,0.826,362.6
Samaki Walker25LAL,6.7,7,0.9,0.4,1.3,0.512,0,0.667,348
Reggie Evans30TOR,4.4,11.5,1.3,1,0.2,0.408,0,0.545,329.84
Tracy Murray25WSB,10,3.1,1,0.8,0.2,0.425,0.353,0.839,322.66
Nenê33WAS,9.2,4.5,1.7,0.9,0.5,0.544,0,0.578,322.56
Michael Holton27CHH,8.3,1.6,6.3,1,0.2,0.427,0.214,0.839,311.19
Terry Mills24NJN,9,5.5,1,0.6,0.5,0.463,0.348,0.75,307.23
Mark Bryant30HOU,8.6,4.9,0.7,0.4,0.3,0.543,0,0.718,293.44
