Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
Shaquille O'Neal*22ORL,29.3,11.4,2.7,0.9,2.4,0.583,0,0.533,1058.2
Hakeem Olajuwon*33HOU,26.9,10.9,3.6,1.6,2.9,0.514,0.214,0.724,989.4
Scottie Pippen*28CHI,22,8.7,5.6,2.9,0.8,0.491,0.32,0.66,888.56
Jayson Tatum24BOS,30.1,8.8,4.6,1.1,0.7,0.466,0.35,0.854,874.53
Moses Malone*28PHI,22.7,13.4,1.4,1,1.5,0.483,0,0.75,802.24
Patrick Ewing*26NYK,22.7,9.3,2.4,1.5,3.5,0.567,0,0.746,800.02
Yao Ming*28HOU,19.7,9.9,1.8,0.4,1.9,0.548,1,0.866,762.72
Steve Nash*30PHO,15.5,3.3,11.5,1,0.1,0.502,0.431,0.887,754.6
Devin Booker25PHO,26.8,5,4.8,1.1,0.4,0.466,0.383,0.868,734.85
Elvin Hayes*34WSB,23,11.1,1.6,0.8,2.3,0.454,0.231,0.699,675.96
Danilo Gallinari30LAC,19.8,6.1,2.6,0.7,0.3,0.463,0.433,0.904,636.3
Chris Mullin*30GSW,16.8,5.6,5.1,1.7,0.9,0.472,0.364,0.753,592.5
Tyson Chandler24NOK,9.5,12.4,0.9,0.5,1.8,0.624,0,0.527,588.2
P.J. Brown33NOH,10.7,9,1.9,0.9,1,0.531,0,0.836,587.84
Otis Thorpe27HOU,17.1,9,3.2,0.8,0.3,0.548,0,0.688,577.99
Charles Oakley30NYK,11.8,11.8,2.7,1.3,0.2,0.478,0,0.776,547.74
Jeff McInnis26LAC,12.9,2.7,5.5,0.9,0.1,0.463,0.361,0.807,546
Brian Shaw24BOS,13.8,4.7,7.6,1.3,0.4,0.469,0.111,0.819,544.05
LaPhonso Ellis23DEN,15.4,8.6,2.1,0.8,1,0.502,0.304,0.674,543.78
Jamal Mashburn26MIA,14.8,6.1,3.1,0.8,0.1,0.451,0.433,0.721,537.56
Rik Smits27IND,15.7,6.2,2,0.6,1.1,0.534,0,0.793,533.87
Larry Hughes22GSW,16.5,5.5,4.5,1.9,0.6,0.383,0.187,0.766,512.91
Jeff Green22OKC,16.5,6.7,2,1,0.4,0.446,0.389,0.788,511.52
Ray Allen*36BOS,14.2,3.1,2.4,1.1,0.2,0.458,0.453,0.915,503.2
Cuttino Mobley29ORL,16,2.7,1.8,1,0.4,0.432,0.464,0.797,483.48
Jordan Clarkson26CLE,16.8,3.3,2.4,0.7,0.2,0.448,0.324,0.844,458.64
Tyrus Thomas22CHI,10.8,6.4,1,1.2,1.9,0.451,0.333,0.783,437.25
Myles Turner23IND,12.1,6.6,1.2,0.7,2.1,0.457,0.344,0.751,436.6
Khris Middleton31MIL,15.1,4.2,4.9,0.7,0.2,0.436,0.315,0.902,422.82
Shawn Bradley27DAL,8.4,6.5,0.8,0.9,2.5,0.479,0.2,0.765,419.9
Shaun Livingston21LAC,9.3,3.4,5.1,1.1,0.5,0.463,0.313,0.707,408.26
Sam Vincent26ORL,11.2,3.1,5.6,1,0.3,0.457,0.071,0.879,405.02
Nikola Mirotić24CHI,11.8,5.5,1.5,0.9,0.7,0.407,0.39,0.807,388.44
Dorell Wright27PHI,9.2,3.8,1.9,0.8,0.4,0.396,0.374,0.851,361.6
Rodney Hood27POR,11,3.4,1.5,0.8,0.2,0.506,0.493,0.778,359.9
Juwan Howard31HOU,9.6,5.7,1.5,0.5,0.1,0.451,0,0.843,345.8
Darko Miličić20ORL,7.6,4.1,1.1,0.4,2.1,0.507,0,0.595,340.67
Jim Thomas24IND,11.1,3.3,2.9,1,0.1,0.478,0.19,0.782,334.1
Fred Brown33SEA,11.2,1.7,2.9,0.8,0,0.455,0.325,0.86,331.36
Kyle Anderson28MEM,7.6,5.3,2.7,1.1,0.7,0.446,0.33,0.638,309.6
Channing Frye33CLE,9.1,3.9,0.6,0.4,0.5,0.458,0.409,0.851,294.84
Keith McLeod25UTA,7.8,2.1,4.5,1.2,0.2,0.35,0.25,0.767,271.44
Chris King26VAN,7.9,3.6,1.3,0.9,0.4,0.427,0.389,0.662,260.28
