Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
Tim Duncan*27SAS,22.3,12.4,3.1,0.9,2.7,0.501,0.167,0.599,991.86
Paul George30LAC,23.3,6.6,5.2,1.1,0.4,0.467,0.411,0.868,690.85
Allan Houston31NYK,22.5,2.8,2.7,0.7,0.1,0.445,0.396,0.919,670.83
Nenê27DEN,13.8,7.6,2.5,1.4,1,0.587,0,0.704,635.04
Mitch Richmond*26SAC,22.5,4,5.1,1.2,0.4,0.468,0.384,0.813,630.81
Stephon Marbury29NYK,16.4,2.9,5.4,1,0.1,0.415,0.357,0.769,567.63
Lewis Lloyd26HOU,16.9,4,3.7,1.2,0.3,0.529,0.2,0.843,527.46
Jamal Murray21DEN,18.2,4.2,4.8,0.9,0.4,0.437,0.367,0.848,521.6
D'Angelo Russell25MIN,18.1,3.3,7.1,1,0.3,0.411,0.34,0.825,521.6
Ricky Davis24BOS,14.1,4.2,2.6,1.2,0.2,0.488,0.38,0.732,499.8
Andrei Kirilenko20UTA,10.7,4.9,1.1,1.4,1.9,0.45,0.25,0.768,492.56
Foots Walker28CLE,9.4,3.8,8,2,0.2,0.454,0.111,0.802,488.07
Anderson Varejão28CLE,9.1,9.7,1.5,0.9,1.2,0.528,0,0.667,487.92
Eric Snow27PHI,9.8,3.3,7.4,1.5,0.1,0.418,0.263,0.792,483.72
Theo Ratliff24TOT,9.9,6.7,0.7,0.6,3.1,0.513,0,0.701,482.76
Fred Hoiberg28CHI,9.1,4.2,3.6,1.3,0.2,0.438,0.412,0.866,465.12
Jayson Tatum19BOS,13.9,5,1.6,1,0.7,0.475,0.434,0.826,463.6
Kevin McHale*34BOS,13.9,5.9,1.5,0.2,1.1,0.509,0,0.822,462.5
Ron Anderson32PHI,14.6,4.5,1.4,0.8,0.2,0.485,0.209,0.833,441.75
Shawn Marion21PHO,10.2,6.5,1.4,0.7,1,0.471,0.182,0.847,422.37
Larry Hughes21TOT,15,4.3,2.5,1.4,0.3,0.4,0.232,0.74,416.01
Ricky Pierce34SEA,14.5,1.6,1.8,0.8,0.1,0.471,0.188,0.896,416
Gary Payton*23SEA,9.4,3.6,6.2,1.8,0.3,0.451,0.13,0.669,412.65
Dewayne Dedmon29ATL,10.8,7.5,1.4,1.1,1.1,0.492,0.382,0.814,401.6
Ricky Rubio28UTA,12.7,3.6,6.1,1.3,0.1,0.404,0.311,0.855,390.6
Matt Harpring24CLE,11.1,4.3,1.8,0.8,0.3,0.454,0.25,0.812,383.04
Josh Boone23NJN,8.2,7.3,0.8,0.5,0.9,0.548,0,0.456,374.44
D'Angelo Russell19LAL,13.2,3.4,3.3,1.2,0.2,0.41,0.351,0.737,372.24
Troy Murphy23GSW,10,6.2,0.7,0.4,0.6,0.44,0.294,0.75,366.24
Gene Banks27CHI,9.7,4.9,2.7,0.8,0.3,0.539,0,0.767,364.14
Jon Sundvold25SAS,11.2,1.3,4.1,0.5,0,0.486,0.336,0.833,336.4
Brandan Wright28MEM,6.9,3.6,0.5,0.4,1.3,0.673,0,0.542,323.91
Gary Payton*37MIA,7.7,2.9,3.2,0.9,0.1,0.42,0.287,0.794,304.95
Kevin Garnett*38BRK,6.8,6.8,1.6,1,0.3,0.455,0.167,0.829,300.44
Ron Brewer27CLE,11.4,1.8,1.3,1,0.3,0.4,0,0.863,289.44
Jason Collins25NJN,5.9,5.1,2,0.9,0.7,0.424,0,0.739,285
Channing Frye23NYK,9.5,5.5,0.9,0.5,0.6,0.433,0.167,0.787,276.15
Damien Wilkins28SEA,9.2,3.2,2,0.8,0.3,0.403,0.323,0.736,274.59
