Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
LeBron James29MIA,27.1,6.9,6.3,1.6,0.3,0.567,0.379,0.75,1104.61
James Harden26HOU,29,6.1,7.5,1.7,0.6,0.439,0.359,0.86,963.93
Zach Randolph25POR,23.6,10.1,2.2,0.8,0.2,0.467,0.292,0.819,813.96
Baron Davis28GSW,21.8,4.7,7.6,2.3,0.5,0.426,0.33,0.75,772.2
Wally Szczerbiak28TOT,19,4.3,3,0.6,0.3,0.487,0.4,0.897,670.83
Manu Ginóbili*33SAS,17.4,3.7,4.9,1.5,0.4,0.433,0.349,0.871,657.51
Kirk Hinrich26CHI,16.6,3.4,6.3,1.3,0.3,0.448,0.415,0.835,603.5
Calvin Murphy*31HOU,20,2,3.9,1.9,0.1,0.493,0.04,0.897,591.36
Bob Lanier*31MIL,15.7,6.9,2.4,1.4,1.1,0.519,1,0.785,582.2
Marcin Gortat31WAS,13.5,9.9,1.4,0.6,1.3,0.567,0,0.705,571.9
Paul Pressey28MIL,13.9,4.9,7.2,1.8,0.8,0.477,0.291,0.738,562.79
Devin Harris24DAL,14.4,2.3,5.3,1.4,0.1,0.483,0.357,0.821,547.2
Spud Webb28SAC,16,2.9,7.1,1.6,0.3,0.445,0.367,0.859,534.54
Bogdan Bogdanović28ATL,16.4,3.6,3.3,1.1,0.3,0.473,0.438,0.909,522.72
Amar'e Stoudemire30NYK,14.2,5,0.4,0.3,0.7,0.577,0,0.808,519.35
James Silas30SAS,17.7,2.2,4.5,0.8,0.2,0.514,0,0.887,497.66
Mitch Richmond*35WAS,16.2,2.9,3,1.2,0.2,0.407,0.338,0.894,490.21
Freeman Williams24SDC,19.3,1.6,2,1.1,0.1,0.465,0.34,0.852,486.82
Marvin Williams29CHO,11.7,6.4,1.4,0.7,1,0.452,0.402,0.833,485.52
Emeka Okafor27NOH,10.4,9,0.7,0.7,1.5,0.53,0,0.562,476.85
Buck Williams30POR,11.7,9.4,1.2,0.6,0.6,0.602,0,0.705,461.89
Jeff Malone32TOT,16.4,2.6,1.6,0.5,0.1,0.486,0.583,0.83,448.2
Dennis Rodman*36CHI,4.7,15,2.9,0.6,0.2,0.431,0.174,0.55,442.68
Jon Barry32DET,9,2.9,3.3,1.1,0.2,0.489,0.469,0.931,428.34
John Wallace23TOR,14,4.5,1.3,0.8,1.2,0.478,0.5,0.717,426.24
Rafer Alston32HOU,11.5,3,5.4,1.2,0.1,0.37,0.348,0.789,423.68
Donatas Motiejūnas24HOU,12,5.9,1.8,0.8,0.5,0.504,0.368,0.602,413.28
Juwan Howard32HOU,11.8,6.7,1.4,0.6,0.1,0.459,0,0.806,396.25
Ty Lawson29SAC,9.9,2.6,4.8,1.1,0.1,0.454,0.288,0.797,386.54
Randy Wittman27ATL,12.7,1.7,3,0.5,0.2,0.503,0.333,0.787,375.7
Robert Covington25PHI,12.8,6.3,1.4,1.6,0.6,0.385,0.353,0.791,374.88
Keyon Dooling28NJN,9.7,2,3.5,0.9,0.1,0.436,0.421,0.825,365.84
Kevin Huerter23ATL,12.1,3.4,2.7,0.7,0.4,0.454,0.389,0.808,352.24
Mike Gminski31PHI,9.1,6.7,1.1,0.5,1.1,0.384,0.125,0.841,335.28
John Salley28MIA,8.3,6.1,1.6,0.6,1.4,0.502,0,0.799,332.01
Jae Crowder30PHO,10.1,4.7,2.1,0.8,0.5,0.404,0.389,0.76,324.5
Quintin Dailey27LAC,13.4,2.3,1.6,1,0.1,0.434,0.167,0.776,320.88
Gerald Green32HOU,12.1,3.2,0.6,0.6,0.4,0.407,0.369,0.85,320.07
P.J. Tucker33HOU,7.3,5.8,1.2,1.6,0.5,0.396,0.377,0.695,314.64
Jermaine O'Neal35GSW,7.9,5.5,0.6,0.3,0.9,0.504,0,0.75,307.53
Eddie Robinson25CHI,9,2.7,1.3,0.8,0.4,0.453,0.4,0.75,281.25
Kirk Hinrich30ATL,8.6,2.2,3.3,0.8,0.3,0.432,0.421,0.667,280.28
Dennis Smith Jr.23DET,7.3,2.7,3.7,1,0.7,0.415,0.352,0.7,276.36
Tariq Abdul-Wahad25DEN,8.9,3.5,1.7,0.4,0.8,0.389,0.5,0.738,268.92
Jodie Meeks29ORL,9.1,2.1,1.3,0.9,0.1,0.402,0.409,0.878,268.55
Matt Barnes36SAC,7.6,5.4,2.8,0.7,0.3,0.384,0.327,0.758,258.06
Brevin Knight28TOT,4.7,2,3.6,1.5,0,0.427,0.25,0.754,251.6
Sedale Threatt25PHI,9.5,2,2.9,1.1,0.1,0.414,0.438,0.792,250.95
Sylvester Gray21MIA,8,5.2,2.1,0.7,0.5,0.42,0.25,0.673,248.64
Eldridge Recasner28HOU,6.9,2.3,2.7,0.4,0.1,0.415,0.424,0.864,248.46
Wilson Chandler31PHI,6.7,4.7,2,0.6,0.5,0.44,0.39,0.722,240.24
Steve Smith33SAS,6.8,1.9,1.3,0.5,0.2,0.388,0.331,0.833,234
Greg Anthony27NYK,6.1,1,2.6,0.8,0.1,0.437,0.361,0.789,232.5
Tom Garrick22LAC,6.4,2.2,3.4,1.1,0.1,0.49,0,0.803,232.1
Daniel Gafford21CHI,5.1,2.5,0.5,0.3,1.3,0.701,0,0.533,230.04
Miles Plumlee26TOT,4,4.4,0.5,0.6,0.9,0.535,0,0.478,219.76
Fred Jones24IND,4.9,1.6,2.1,0.8,0.2,0.395,0.303,0.832,219.48
Tim Thomas31LAC,9.5,4.6,1,0.3,0.1,0.378,0.3,0.618,200.2
Sam Perkins37IND,5,2.9,0.5,0.3,0.3,0.4,0.389,0.717,198.44
Nate McMillan33SEA,3.4,2.2,3.1,0.8,0.2,0.343,0.441,1,196.85
Kelvin Upshaw28DAL,5.6,1.1,1.8,0.6,0.1,0.45,0.241,0.859,184.04
Emanual Davis33ATL,6.6,2.6,2.4,1,0.2,0.354,0.341,0.889,179.4
Marcus Williams22NJN,5.9,1.9,2.6,0.5,0.1,0.379,0.38,0.787,177.1
Vlatko Čančar25DEN,5,2.1,1.3,0.4,0.2,0.476,0.374,0.927,162.8
Mark Landsberger26LAL,4.3,5.3,0.4,0.1,0.1,0.438,0,0.508,155.53
Haywoode Workman30IND,3.6,1.6,2.8,0.8,0.1,0.39,0.324,0.74,154.02
Nate Robinson30LAC,5.1,1.2,2.2,0.7,0,0.333,0.35,0.833,145.6
Jeff Ayres25IND,3.9,2.8,0.4,0.2,0.3,0.484,0.5,0.913,145
Tim Kempton23LAC,4.4,2.9,0.8,0.6,0.2,0.471,0,0.693,144.84
Bill Wennington33CHI,4.6,2.1,0.7,0.2,0.2,0.498,0,0.83,143.36
Shelton Jones22TOT,4.8,2.2,0.8,0.4,0.3,0.445,0,0.725,139.36
Kai Jones22CHO,3.4,2.7,0.3,0.4,0.7,0.558,0.211,0.731,129.6
Stephen Howard26UTA,3.6,1.8,0.2,0.3,0.2,0.573,0,0.597,127.82
Marc Jackson31NJN,4.6,2.4,0.6,0.1,0.2,0.446,0,0.792,125.19
Daniel Orton22OKC,2.5,2,0.3,0.3,0.2,0.462,0,0.529,112
Tyrus Thomas28MEM,2,0,0.5,0,0,1,0,1,109.9
Pace Mannion27MIL,3.5,1.5,1.6,0.4,0.2,0.407,0.167,0.676,108.8
Tracy Murray29DEN,3.8,1.7,0.7,0.3,0.1,0.309,0.304,0.9,101.92
Khalid Reeves23NJN,3.8,1.3,1.5,0.7,0.1,0.376,0.309,0.581,96.48
Johnny O'Bryant22MIL,3,2.7,0.5,0.3,0.1,0.411,1,0.675,96.2
Kyle Singler27OKC,3.4,2.1,0.4,0.4,0.1,0.389,0.309,0.659,95.04
Quinn Cook27TOT,3.3,0.7,0.8,0.2,0,0.426,0.423,0.875,86.36
Sam Jacobson24LAL,3.3,0.3,0.7,0.3,0,0.556,0,0,84.6
James Singleton25LAC,1.6,2,0.3,0.3,0.3,0.366,0.214,0.759,84.49
Brian Quinnett25NYK,3.1,1,0.3,0.3,0.3,0.384,0.385,0.571,79.79
Jordan Schakel24WAS,1.5,0,0.5,0.5,0,0.5,1,0,72.9
Donté Greene20SAC,3.8,1.6,0.5,0.3,0.3,0.326,0.26,0.853,68.64
Walker Russell22DET,2.7,1.1,1.9,0.2,0,0.364,0.111,0.81,58.83
Othella Harrington34CHA,2.1,1.9,0.2,0,0.2,0.429,0,0.625,43.5
Efthimios Rentzias27PHI,1.5,0.7,0.2,0.2,0.1,0.339,0.5,0.889,43.46
Randy Allen24SAC,2.4,1,0,0.1,0.1,0.421,0,0.5,42.09
Tim Frazier25POR,1.5,1.1,1.2,0.3,0,0.333,0.176,0.533,36.66
Greg Kite26BOS,1.5,1.8,0.2,0.2,0.6,0.391,0,0.167,36.3
Vince Edwards22HOU,1.5,1,0,0,0,0.25,0.25,0,30.4
Brian Evans25MIN,0.8,0.4,0.2,0.4,0,0.2,0,0,14.88
Ruben Boumtje-Boumtje25POR,0.4,0.1,0.1,0,0.1,0.2,0,1,9.86
Rod Higgins26NJN,3,4,0.5,0.5,2,0.188,0,0,-2.9
Shelvin Mack22PHI,0.5,0,0.3,0,0,0.5,0,0,-11.52
Casey Shaw23PHI,0.2,0.3,0,0,0,0.125,0,0,-23.84
Jerry Eaves27SAC,1.3,0.3,0,0.3,0,0.125,0,1,-60.03
End NBA,,,,,,,,,
