Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
Adrian Dantley*25UTA,30.7,6.4,4,1.4,0.2,0.559,0.286,0.806,1037.61
Chris Mullin*28GSW,25.6,5.6,3.5,2.1,0.8,0.524,0.366,0.833,821.87
Kemba Walker25CHO,20.9,4.4,5.2,1.6,0.5,0.427,0.371,0.847,740.48
Dino Radja*28BOS,19.7,9.8,1.6,0.9,1.5,0.5,0,0.695,673.2
Jayson Williams29NJN,12.9,13.6,1,0.7,0.8,0.498,0,0.666,673.2
Ray Allen*33BOS,18.2,3.5,2.8,0.9,0.2,0.48,0.409,0.952,629.72
Andre Miller30PHI,13.6,4.4,7.3,1.3,0.1,0.464,0.053,0.808,597.84
Al Harrington28NYK,20.7,6.3,1.4,1.2,0.3,0.446,0.362,0.804,574
Kevin Martin31MIN,20,3.6,2.3,0.8,0,0.427,0.393,0.881,557.78
Armen Gilliam30NJN,14.8,7.5,1.2,0.8,1.1,0.503,0,0.77,544.81
Ron Brewer26TOT,18.8,2.2,2.6,1.1,0.4,0.477,0.258,0.812,511.98
Jason Richardson30TOT,15.6,4.1,1.8,1.2,0.2,0.447,0.395,0.73,508.5
Robert Horry25HOU,12,5.8,4,1.6,1.5,0.41,0.366,0.776,508.27
Brevin Knight23CLE,9.6,3.4,7.7,1.8,0.2,0.425,0,0.745,504.64
Reggie Williams30DEN,13.4,4.4,3.1,1.5,0.9,0.459,0.32,0.759,501.93
Pooh Richardson23MIN,11.4,2.6,6.8,1.6,0.3,0.461,0.277,0.589,497.7
Sam Perkins33SEA,12.7,4.9,1.6,0.9,0.5,0.466,0.397,0.799,464.94
Buck Williams33POR,9.7,10.4,1,0.7,0.6,0.555,0,0.679,455
Tyson Chandler22CHI,8,9.7,0.8,0.9,1.8,0.494,0,0.673,449.36
Steve Johnson29POR,16.8,7.2,2,0.6,1,0.556,0,0.698,448.47
Kevin Huerter24SAC,15.2,3.3,2.9,1.1,0.3,0.485,0.402,0.725,446.88
Anderson Varejão32CLE,9.8,6.5,1.3,0.7,0.6,0.555,0,0.733,433.65
Greg Anderson27DEN,11.5,11.5,1,1.1,0.8,0.456,0,0.623,429.66
Eddie Jones35MIA,9.5,3.7,2.2,1.3,0.2,0.446,0.378,0.829,421.85
Andre Miller36DEN,9.6,2.9,5.9,0.9,0.1,0.479,0.266,0.84,411.34
Rony Seikaly30GSW,12.1,7.8,1.1,0.6,1.1,0.502,0.667,0.723,401.86
Paul Pierce*37WAS,11.9,4,2,0.6,0.3,0.447,0.389,0.781,398.24
Terry Teagle28GSW,15.2,4,1.5,1.2,0.3,0.476,0.167,0.809,397.46
James Posey25DEN,10.7,5.9,2.5,1.6,0.5,0.376,0.283,0.793,396.03
Sean Rooks24DAL,11.4,5.5,1,0.4,0.9,0.491,0,0.714,389.82
Terrence Ross28ORL,14.7,3.2,1.2,1.1,0.3,0.403,0.351,0.853,383.6
Antonio McDyess32DET,8.1,6,0.9,0.7,0.8,0.526,0,0.691,381.91
Luke Kennard25LAC,11.9,3.3,2.1,0.6,0.1,0.449,0.449,0.896,364.42
T.J. McConnell24PHI,6.9,3.1,6.6,1.7,0.1,0.461,0.2,0.811,360.31
Scott May25CHI,12.4,4,1.9,0.8,0.1,0.45,0,0.837,357.6
Mark Olberding23SAS,10.6,5.6,4.4,0.9,0.3,0.478,0,0.795,348.44
Jon Barry30SAC,8,2.6,2.4,1.2,0.1,0.465,0.429,0.922,329.13
Jae Crowder28UTA,11.9,4.8,1.7,0.8,0.4,0.399,0.331,0.721,327.91
Kendrick Perkins23BOS,6.9,6.1,1.1,0.4,1.5,0.615,0,0.623,325.85
Kenny Walker23NYK,10.1,4.7,1,0.8,0.7,0.473,0,0.775,321.03
Cedi Osman24CLE,11,3.6,2.4,0.8,0.2,0.437,0.383,0.67,314.58
Kris Humphries24NJN,8.1,6.4,0.6,0.7,0.8,0.433,0,0.699,311.06
Mark Davis23PHI,8.5,4.3,1.8,1.1,0.4,0.469,0.258,0.673,310.99
Chucky Atkins29TOT,8.4,1.5,3.5,0.7,0,0.397,0.336,0.753,291.61
Tim Hardaway Jr.22NYK,11.5,2.2,1.8,0.3,0.2,0.389,0.342,0.801,290.4
Cory Joseph23SAS,6.8,2.4,2.4,0.6,0.2,0.504,0.364,0.734,283.65
Malik Beasley26TOT,12.7,3.5,1.5,0.8,0.1,0.395,0.357,0.769,281.22
Dale Ellis24DAL,9.3,3.3,0.8,0.6,0.1,0.454,0.385,0.74,269.01
Brent Barry34SAS,5.8,2.1,1.7,0.5,0.4,0.452,0.396,0.661,251.6
Dion Waiters28TOT,11.1,2.4,2,0.4,0.6,0.414,0.319,0.824,238.05
Nik Stauskas22PHI,8.5,2.5,1.9,0.6,0.3,0.385,0.326,0.771,228.16
Kurt Rambis23LAL,4.6,5.4,0.9,0.9,1.2,0.518,0,0.504,226.56
Anthony Tolliver28CHA,6.1,2.6,0.7,0.3,0.2,0.42,0.413,0.805,223.3
Jim Brogan23SDC,6.3,1.9,2.5,0.8,0.2,0.453,0.281,0.726,211.9
Ed Pinckney26BOS,4.7,2.9,0.9,0.4,0.5,0.542,0,0.773,193.17
Isaiah Thomas32TOT,8.4,1.3,1.5,0.3,0.2,0.401,0.337,0.846,181.2
Dante Exum23UTA,6.9,1.6,2.6,0.3,0.1,0.419,0.29,0.791,176.96
Reggie Bullock25DET,4.5,2.1,0.9,0.6,0.1,0.422,0.384,0.714,176.67
Corey Brewer32SAC,4.1,2.5,1.2,0.8,0.2,0.446,0.333,0.733,176.4
Antonio Daniels27POR,3.7,1.1,1.3,0.5,0.1,0.452,0.305,0.855,172.9
Stacey King24CHI,5.5,2.7,0.9,0.3,0.6,0.467,0,0.704,161.16
Ryan Hollins31TOT,3.4,2.6,0.3,0.2,0.6,0.62,0,0.619,152.52
Vitaly Potapenko29SEA,3.5,2.4,0.3,0.2,0.1,0.517,0,0.871,147.9
Rafael Addison22PHO,5.8,1.7,0.7,0.4,0.1,0.441,0.32,0.797,136.85
Rodney Carney26TOT,4.7,1.8,0.4,0.4,0.2,0.418,0.447,0.667,133.92
Billy McKinney28SDC,3.9,0.7,2,0.3,0,0.446,0,0.848,122.85
Keon Clark28UTA,2,3.5,0.5,0.5,0,0.333,0,0,118.8
Howard Eisley33TOT,3.2,1,2.2,0.3,0.1,0.33,0.31,0.833,113.16
Frank Brickowski37BOS,4.8,2,0.9,0.3,0.2,0.438,0.35,0.714,103.5
Patrick McCaw23TOT,2.6,1.7,1,0.8,0.1,0.413,0.321,0.867,102.75
Alexis Ajinça22DAL,2.9,1.7,0.2,0.3,0.5,0.375,0.429,0.667,96
Ben Poquette31CHI,2.4,1.1,0.3,0.1,0.6,0.525,0,0.818,95.2
Alex Stivrins30MIL,3.7,2,0.7,0.3,0,0.364,0,0.75,90.47
Chris Andersen37MIA,1.9,1.3,0.4,0.1,0.4,0.4,0.4,0.75,89.76
Acie Earl26MIL,2.9,1.2,0.2,0.3,0.1,0.348,0,0.714,89.28
Carlik Jones25CHI,2.9,0.7,0.9,0.3,0,0.4,0.5,0.625,88.8
Terry Duerod25BOS,3.4,0.7,0.6,0.1,0,0.442,0,0.333,87.5
Bruce Bowen28TOT,2.8,1.4,0.5,0.3,0.2,0.371,0.466,0.581,85.09
Greg Kite27TOT,2.1,3.5,0.5,0.4,0.8,0.43,0,0.488,85.05
Andrés Guibert26MIN,2.6,2.6,0.6,0.5,0.1,0.34,0,0.684,81.34
Bobby Jones23PHI,2.5,1.3,0.4,0.3,0,0.462,0.111,0.561,71.44
Jarron Collins29UTA,1.7,1.7,0.5,0.1,0.1,0.439,0,0.622,61
Joe Courtney26CLE,1.7,2.1,0.4,0.2,0.3,0.429,0,0.444,60.9
Joe Wolf33DEN,1.5,2.2,0.5,0.4,0.1,0.331,0.2,0.5,55.59
Jiří Welsch25CLE,2.9,1.8,1.2,0.3,0,0.235,0.182,0.714,51.6
Hamed Haddadi24MEM,1.7,2.1,0.3,0,0.4,0.387,0,0.737,48.24
Frank Kornet23MIL,2,1.2,0.4,0.2,0.1,0.368,0.25,0.615,46.97
Shayne Whittington24IND,1.6,1.7,0.4,0.1,0.1,0.455,0,0.5,43.66
Travis Diener27TOT,0.7,0.3,0.9,0.4,0,0.2,0.143,0.25,43.32
Shavlik Randolph31TOT,1.1,1.8,0.2,0.2,0.1,0.257,0,0.5,43.2
Matt Steigenga26CHI,1.5,1.5,1,0.5,0.5,0.25,0,0.5,42
Eddie Hughes27UTA,1.5,0.4,0.7,0,0,0.385,0.167,1,33.44
Litterial Green27MIL,1.2,0.3,0.8,0.2,0,0.217,0,0.75,31.86
Andrew Gaze33SAS,1.1,0.3,0.3,0.1,0.1,0.32,0.313,0,26.35
Byron Dinkins23IND,1,0.5,0,0,0,1,0,0,19.75
Dexter Pittman24TOT,0.7,1.1,0,0,0,0.364,0,0,4.64
Emanuel Terry25PHO,0,5,0.7,0.3,0,0,0,0,-0.6
Jimmer Fredette26NOP,0.5,0,0.3,0.3,0,0.25,0,0,-5.28
Elden Campbell36NJN,0.2,1.1,0.3,0,0.1,0,0,0.5,-7
David Wingate36NYK,0.3,0.3,0.4,0.1,0.3,0.111,0,0,-23
End NBA,,,,,,,,,
