Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
Jimmy Butler27CHI,23.9,6.2,5.5,1.9,0.4,0.455,0.367,0.865,928.7
Calvin Natt28DEN,23.3,7.8,3.1,1,0.4,0.546,0,0.793,743.38
John Wall23WAS,19.3,4.1,8.8,1.8,0.5,0.433,0.351,0.805,707.85
Luol Deng21CHI,18.8,7.1,2.5,1.2,0.6,0.517,0.143,0.777,701.25
Gordon Hayward24UTA,19.3,4.9,4.1,1.4,0.4,0.445,0.364,0.812,694.88
Marc Gasol25MEM,14.6,9.3,2.4,1,1.6,0.581,0,0.67,690.94
Pau Gasol*23MEM,17.7,7.7,2.5,0.6,1.7,0.482,0.267,0.714,683.55
Metta World Peace26IND,19.4,4.9,2.2,2.6,0.7,0.46,0.333,0.612,682.37
Wally Szczerbiak25MIN,17.6,4.6,2.6,0.8,0.4,0.481,0.421,0.867,610.69
Joe Smith20GSW,15.3,8.7,1,1,1.6,0.458,0.357,0.773,591.68
Mark Jackson31TOT,9.9,4.8,11.4,1.2,0.1,0.426,0.371,0.789,584.04
Jalen Rose29IND,18.5,4.7,3.7,0.8,0.5,0.444,0.356,0.839,573.05
Bison Dele26LAC,15.8,7.6,1.9,1.1,0.8,0.543,0.167,0.734,564.4
Jamal Crawford28NYK,19.6,1.5,4.4,0.8,0,0.432,0.455,0.761,558.92
Mitchell Robinson21NYK,9.7,7,0.6,0.9,2,0.742,0,0.568,542.85
Elvin Hayes*36HOU,16.1,9.1,1.8,0.8,1.3,0.472,0,0.664,532.8
Andrew Wiggins19MIN,16.9,4.6,2.1,1,0.6,0.437,0.31,0.76,503.18
Al Horford34OKC,14.2,6.7,3.4,0.9,0.9,0.45,0.368,0.818,485.46
Udonis Haslem27MIA,12,9,1.4,0.8,0.4,0.467,0,0.81,467.36
Chris Morris24NJN,14.8,5.3,1.8,1.6,1,0.422,0.316,0.722,452.88
Franz Wagner20ORL,15.2,4.5,2.9,0.9,0.4,0.468,0.354,0.863,451.29
Ryan Gomes24BOS,12.1,5.6,1.6,0.7,0.2,0.467,0.381,0.811,427.44
Sean Rooks23DAL,13.5,7.4,1.3,0.5,1.1,0.493,0,0.602,426.3
Dirk Nowitzki*39DAL,12,5.7,1.6,0.6,0.6,0.456,0.409,0.898,412.49
Cliff Robinson19NJN,13.6,7.2,1.4,0.9,0.5,0.469,0.25,0.694,402.9
Zach LaVine20MIN,14,2.8,3.1,0.8,0.2,0.452,0.389,0.793,400.4
Kevin Duckworth25POR,16.2,6.2,1.1,0.4,0.4,0.478,0,0.74,399
Marvin Williams23ATL,10.1,5.1,1.1,0.8,0.6,0.455,0.303,0.819,396.5
Arron Afflalo29DEN,14.5,3.4,1.9,0.6,0.1,0.428,0.337,0.841,386.1
Chris Andersen31DEN,5.9,6.4,0.4,0.6,1.9,0.566,0,0.695,352.34
Corey Brewer28HOU,11.9,3.6,1.7,1.1,0.3,0.429,0.284,0.764,351.4
Jaylen Brown22BOS,13,4.2,1.4,0.9,0.4,0.465,0.344,0.658,349.65
Tim Thomas20PHI,11,3.7,1.2,0.7,0.2,0.447,0.363,0.74,344.19
Wally Szczerbiak26MIN,10.2,3.1,1.2,0.4,0,0.449,0.435,0.828,339.66
Reggie Bullock29NYK,10.9,3.4,1.5,0.8,0.2,0.442,0.41,0.909,333
Mark Eaton31UTA,7,8.7,0.7,0.5,3.7,0.418,0,0.623,316.35
Anthony Bonner23SAC,9.4,6.1,1.6,1.2,0.3,0.447,0.25,0.627,315.01
Anthony Peeler33MIN,7.7,2.9,3,0.9,0.2,0.414,0.41,0.78,301.4
Ricky Berry24SAC,11,3.1,1.3,0.6,0.3,0.45,0.406,0.789,288.2
Jeff Malone22WSB,12.1,1.9,1.9,0.3,0.2,0.444,0.324,0.826,275.72
Ervin Johnson33MIL,3.2,7.5,0.5,0.5,1.2,0.545,0,0.538,271.04
Jameer Nelson32TOT,8.3,2.3,4,0.7,0.1,0.407,0.345,0.667,269.83
Shane Larkin22NYK,6.2,2.3,3,1.2,0.1,0.433,0.302,0.782,267.05
Andrew DeClercq26CLE,6.6,5.4,0.7,0.8,0.8,0.508,0,0.588,254.22
Chris Douglas-Roberts27CHA,6.9,2.4,1,0.6,0.3,0.44,0.386,0.805,252.54
Cory Joseph28SAC,6.4,2.6,3.5,0.7,0.3,0.415,0.352,0.857,246.44
Kenyon Martin36NYK,4.3,4.2,1.6,0.8,0.8,0.512,0,0.579,241.56
Tom Gugliotta34UTA,3.7,5.2,1.7,0.7,0.3,0.375,0.333,0.7,234.84
Meyers Leonard22POR,5.9,4.5,0.6,0.2,0.3,0.51,0.42,0.938,227.92
Marquis Daniels30BOS,5.5,2.3,1.3,0.8,0.4,0.491,0.19,0.684,223.47
Bryn Forbes28SAS,9.1,1.6,1,0.4,0.1,0.432,0.417,0.898,209.56
Robin Lopez22PHO,6.4,3.2,0.1,0.3,0.7,0.501,0,0.74,205.72
Tim Frazier25TOT,5.1,2.2,3.2,0.6,0,0.419,0.333,0.716,201.55
Carey Scurry24UTA,5,2.9,0.8,0.8,0.8,0.498,0.308,0.701,199.47
George McGinnis*31IND,4.7,5.2,2.7,1.3,0.4,0.373,0,0.453,198.88
Jerome James27SEA,5.4,4.2,0.5,0.2,1.6,0.478,0,0.587,196.5
Aaron McKie25PHI,3.9,2.9,2.4,1.4,0.2,0.347,0.196,0.688,190.35
Jordan McLaughlin26MIN,3.7,1.4,3.4,0.7,0.1,0.421,0.308,0.833,186.44
Isaiah Thomas32TOT,8.4,1.3,1.5,0.3,0.2,0.401,0.337,0.846,181.2
Jameer Nelson32BOS,4.8,2.8,5.5,1.2,0,0.22,0.2,0.667,175.74
Andre Barrett23TOR,4.6,1.3,2.9,0.6,0,0.361,0.154,0.667,169.4
Willie Anderson29NYK,5,2.2,1.8,0.6,0.3,0.421,0.2,0.613,169.28
Jay Vincent29TOT,8.6,3.8,0.9,0.2,0.1,0.405,0.333,0.667,156.1
Keith McLeod27TOT,4.8,0.9,1.9,0.5,0.1,0.388,0.356,0.885,153
Sandro Mamukelashvili22MIL,3.8,2,0.5,0.2,0.2,0.496,0.423,0.818,145.53
Gary Clark25TOT,3.7,2.6,0.4,0.1,0.5,0.406,0.351,0.9,144.45
Jeremy Evans27UTA,2.4,1.9,0.3,0.3,0.3,0.552,0.4,0.828,143.5
Ryan Broekhoff29DAL,4.2,2.5,0.6,0.3,0.2,0.373,0.392,0.875,138.86
Eric Maynor24OKC,4.2,1.4,2.4,0.6,0,0.359,0.353,1,138.32
Jim Brewer30LAL,2.4,3.7,0.6,0.5,0.6,0.463,0.167,0.368,137.36
Malik Rose22CHH,3,3,0.6,0.5,0.3,0.477,0,0.613,132.89
