Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
Kevin Durant28GSW,25.1,8.3,4.8,1.1,1.6,0.537,0.375,0.875,921.84
Patrick Ewing*34NYK,22.4,10.7,2,0.9,2.4,0.488,0.222,0.754,788.1
Tim Hardaway*31MIA,18.9,3.7,8.3,1.7,0.2,0.431,0.351,0.781,770.44
Terrell Brandon29MIN,17.1,3.4,8.9,1.9,0.4,0.466,0.402,0.899,757.12
Mike Conley26MEM,17.2,2.9,6,1.5,0.2,0.45,0.361,0.815,670
Micheal Williams26MIN,15.1,3.6,8.7,2.2,0.3,0.446,0.243,0.907,665
Paul Millsap28ATL,17.9,8.5,3.1,1.7,1.1,0.461,0.358,0.731,663.3
Kevin Love28CLE,19,11.1,1.9,0.9,0.4,0.427,0.373,0.871,662.54
Marques Johnson29LAC,20.3,5.5,3.8,1.4,0.7,0.51,0.067,0.76,655.83
David Lee30GSW,18.2,9.3,2.1,0.7,0.4,0.523,0,0.78,634.12
Alvin Robertson27MIL,14.2,6.9,5.5,2.6,0.2,0.503,0.154,0.741,606.69
Kevin Love27CLE,16,9.9,2.4,0.8,0.5,0.419,0.36,0.822,598.5
Chandler Parsons25HOU,16.6,5.5,4,1.2,0.4,0.472,0.37,0.742,597.84
A.C. Green25LAL,13.3,9,1.3,1.1,0.7,0.529,0.235,0.786,544.68
Tom Chambers31PHO,19.9,6.4,2.6,0.9,0.7,0.437,0.274,0.826,528.12
Andrew Wiggins25GSW,18.6,4.9,2.4,0.9,1,0.477,0.38,0.714,499.5
O.J. Mayo25DAL,15.3,3.5,4.4,1.1,0.3,0.449,0.407,0.82,493.45
Avery Johnson31SAS,10.5,1.9,6.8,1.3,0.2,0.477,0.231,0.69,487.5
Bojan Bogdanović32UTA,18.1,4.3,1.7,0.5,0,0.455,0.387,0.858,485.13
Reggie Miller*37IND,12.6,2.5,2.4,0.9,0.1,0.441,0.355,0.9,480.18
Andrew Wiggins26GSW,17.2,4.5,2.2,1,0.7,0.466,0.393,0.634,478.5
Fred Hoiberg28CHI,9.1,4.2,3.6,1.3,0.2,0.438,0.412,0.866,465.12
Otis Smith24GSW,13.1,3.8,2.5,1.5,0.6,0.506,0.317,0.781,461.72
Eddy Curry21CHI,14.7,6.2,0.9,0.3,1.1,0.496,1,0.671,436.6
Jeff McInnis30CLE,12.8,2.1,5.1,0.7,0,0.412,0.345,0.813,432.76
Pat Cummings27DAL,13.1,8.2,2,0.8,0.3,0.494,0,0.742,430.56
Derrick Rose33NYK,12,3,4,0.8,0.5,0.445,0.402,0.968,414.05
Jason Smith25NOH,9.9,4.9,0.9,0.5,1,0.52,0.111,0.702,393.42
Jordan Crawford24WAS,13.2,3.1,3.7,0.6,0.1,0.415,0.345,0.821,385.14
Walter Davis30PHO,15,1.5,4.3,0.8,0,0.45,0.3,0.877,369.52
Devin Vassell21SAS,12.3,4.3,1.9,1.1,0.6,0.427,0.361,0.838,363.09
Allen Crabbe25BRK,13.2,4.3,1.6,0.6,0.5,0.407,0.378,0.852,360.39
Marc Jackson29PHI,9.4,5.7,0.8,0.5,0.3,0.415,0,0.79,359.04
Doug Christie25TOR,10.1,3.8,2.9,1.8,0.5,0.436,0.414,0.789,355.84
Andrew DeClercq25TOT,7.9,5.4,0.7,1.1,0.6,0.5,0,0.674,351
Dario Šarić25PHO,10.7,6.2,1.9,0.6,0.2,0.476,0.357,0.844,350.74
Ron Brewer29NJN,10.4,1.6,1,0.5,0.5,0.583,0,0.889,345.65
Lawrence Funderburke27SAC,9.5,4.5,1.2,0.4,0.3,0.49,0.143,0.679,340.2
D.J. Augustin27TOT,9.5,2,4.3,0.6,0,0.399,0.337,0.868,333.6
Jared Dudley24PHO,8.2,3.4,1.4,1,0.2,0.459,0.458,0.754,330.48
Dennis Smith Jr.21DAL,12.9,3,4.3,1.3,0.3,0.44,0.344,0.695,326.6
