Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
Grant Hill*24DET,21.4,9,7.3,1.8,0.6,0.496,0.303,0.711,1002.15
Dirk Nowitzki*31DAL,25,7.7,2.7,0.9,1,0.481,0.421,0.915,858.75
Kevin Johnson24PHO,22.2,3.5,10.1,2.1,0.1,0.516,0.205,0.843,853.2
Yao Ming*28HOU,19.7,9.9,1.8,0.4,1.9,0.548,1,0.866,762.72
Kevin Willis29ATL,18.3,15.5,2.1,0.9,0.7,0.483,0.162,0.804,721.02
James Worthy*29LAL,21.4,4.6,3.5,1.3,0.4,0.492,0.289,0.797,698.66
Elden Campbell30CHH,15.3,9.4,1.9,1.2,1.8,0.489,0,0.647,686.76
Dwyane Wade*33MIA,21.5,3.5,4.8,1.2,0.3,0.47,0.284,0.768,680.52
Bob Sura30ATL,14.7,8.3,5.3,0.9,0.2,0.42,0.279,0.783,654.9
Pau Gasol*33LAL,17.4,9.7,3.4,0.5,1.5,0.48,0.286,0.736,606.02
Phil Ford24KCK,17.5,1.9,8.8,1.5,0.1,0.478,0.306,0.831,600.31
Andre Miller30DEN,13,4.5,9.1,1.6,0.2,0.472,0.25,0.729,592.62
Mike Newlin32NJN,21.4,2.8,3.8,1.1,0.1,0.497,0.333,0.888,574.08
Bonzi Wells29SAC,13.6,7.7,2.8,1.8,0.5,0.463,0.222,0.679,537.84
Shawn Kemp21SEA,15,8.4,1.8,1,1.5,0.508,0.167,0.661,529.76
Kevin Martin30MIN,19.1,3,1.8,1,0.1,0.43,0.387,0.891,521.6
Ricky Davis24TOT,14.4,4.5,3.3,1.2,0.3,0.469,0.371,0.718,503.93
Vlade Divac*22LAL,11.2,8.1,1.1,1.3,1.5,0.565,0.357,0.703,499.14
Carl Landry28NOH,12.5,5.2,0.9,0.3,0.3,0.503,0,0.799,444.08
Tim Hardaway Jr.26TOT,18.1,3.4,2.4,0.8,0.1,0.393,0.34,0.841,429.76
Gheorghe Mureșan25WSB,10.6,6.6,0.4,0.6,1.3,0.604,0,0.618,422.51
Chris Mihm25LAL,9.8,6.7,0.7,0.2,1.4,0.507,0,0.678,390.93
Arron Afflalo29DEN,14.5,3.4,1.9,0.6,0.1,0.428,0.337,0.841,386.1
Al-Farouq Aminu28POR,9.4,7.5,1.3,0.8,0.4,0.433,0.343,0.867,373.56
Albert King26NJN,14.3,5,2.5,0.8,0.3,0.456,0.174,0.823,364.42
Jordan Nwora24IND,13,4.7,2.1,0.5,0.3,0.476,0.422,0.721,354.24
Myles Turner19IND,10.3,5.5,0.7,0.4,1.4,0.498,0.214,0.727,351.12
Louis Orr22IND,10.5,4.4,1.6,0.7,0.3,0.491,0,0.807,350.98
Troy Hudson25ORL,11.7,1.8,3.1,0.7,0.1,0.434,0.353,0.876,350.37
Marcus Morris25PHO,10.4,4.8,1.6,0.8,0.2,0.434,0.358,0.628,345.24
Jason Terry35BOS,10.1,2,2.5,0.8,0.1,0.434,0.372,0.87,344.32
Trey Lyles26TOT,10.5,5.1,1.2,0.4,0.4,0.466,0.321,0.802,336.2
Craig Hodges26MIL,10.8,1.8,3.1,1,0.1,0.462,0.373,0.891,327.25
Marvin Williams28CHO,7.4,4.9,1.3,0.9,0.5,0.424,0.358,0.713,307.98
Richard Washington25CLE,9.9,5.3,1.6,0.6,0.8,0.459,0.5,0.75,307.38
Brent Price30HOU,7.3,2,2.8,0.8,0,0.483,0.411,0.754,303
J.R. Smith29NYK,10.9,2.4,3.4,0.8,0.2,0.402,0.356,0.692,296.7
Dave Corzine28CHI,8.5,5.1,1.7,0.4,0.8,0.486,0,0.745,296.18
Kent Benson29DET,7.1,5,1.6,0.9,0.6,0.55,0,0.822,295.4
Dion Waiters27MIA,12,2.6,2.8,0.7,0.2,0.414,0.377,0.5,295.26
Ed Sherod23NYK,6.2,2.3,4.9,1.5,0.2,0.406,0.077,0.65,289.56
Jae Crowder24TOT,7.7,3.6,1.1,0.9,0.3,0.42,0.293,0.773,279.39
Fred Hoiberg32MIN,5.8,2.4,1.1,0.7,0.2,0.489,0.483,0.873,278.89
Monty Williams30ORL,7.1,3.5,1.4,0.7,0.3,0.547,0,0.657,277.83
Patrick Beverley34CHI,5.8,4.9,3.5,1,0.7,0.395,0.309,0.533,277.75
Thaddeus Young33SAS,6.1,3.6,2.3,0.9,0.3,0.578,0,0.455,264.12
Tony Campbell31TOT,8.8,3,1.3,0.8,0.2,0.443,0.25,0.783,256.69
Brad Lohaus25MIN,7.5,3.9,2.2,0.5,0.8,0.465,0.063,0.808,248.98
