Relation NBA,,,,,,,,,
Player,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,MP*PER
Giannis Antetokounmpo23MIL,26.9,10,4.8,1.5,1.4,0.529,0.307,0.76,1001.91
Stephen Curry26GSW,23.8,4.3,7.7,2,0.2,0.487,0.443,0.914,915.6
DeMarcus Cousins23SAC,22.7,11.7,2.9,1.5,1.3,0.496,0,0.726,845.64
Chauncey Billups32TOT,17.7,3,6.4,1.2,0.2,0.418,0.408,0.913,663.64
Stephen Jackson31CHA,21.1,5.1,3.6,1.6,0.5,0.423,0.334,0.786,617.01
Brook Lopez28BRK,20.5,5.4,2.3,0.5,1.7,0.474,0.346,0.81,603.84
Marcin Gortat29WAS,13.2,9.5,1.7,0.5,1.5,0.542,1,0.686,577.28
Robin Lopez25POR,11.1,8.5,0.9,0.3,1.7,0.551,0,0.818,561.09
Donyell Marshall26GSW,14.2,10,2.6,1.1,1.1,0.394,0.355,0.78,554.04
Brandon Knight23TOT,17,3.9,5.2,1.4,0.2,0.422,0.389,0.874,552.33
Serge Ibaka25OKC,14.3,7.8,0.9,0.5,2.4,0.476,0.376,0.836,549.46
Tayshaun Prince29DET,13.5,5.1,3.3,0.7,0.4,0.486,0.37,0.714,544
Danilo Gallinari22NYK,15.9,4.8,1.7,0.8,0.4,0.415,0.347,0.893,542.88
Hedo Türkoğlu29ORL,16.8,5.3,4.9,0.8,0.2,0.413,0.356,0.807,541.68
D.J. Augustin26CHI,14.9,2.1,5,0.9,0,0.419,0.411,0.882,510.72
Raja Bell33GSW,11,2,3,0,0,0.667,1,0,473.8
Jalen Williams21OKC,14.1,4.5,3.3,1.4,0.5,0.521,0.356,0.812,472.68
Joakim Noah29CHI,7.2,9.6,4.7,0.7,1.1,0.445,0,0.603,468.18
Trey Burke25NYK,12.8,2,4.7,0.7,0.1,0.503,0.362,0.649,457.8
Daniel Theis27BOS,9.2,6.6,1.7,0.6,1.3,0.566,0.333,0.763,431.39
Nick Anderson23ORL,14.1,5.5,1.5,1.1,0.6,0.467,0.293,0.668,425.82
Marvin Bagley III21SAC,14.1,7.4,1,0.5,0.5,0.504,0.343,0.575,422.17
Mario Chalmers27MIA,9.8,2.9,4.9,1.6,0.2,0.454,0.385,0.742,417.2
Ronnie Lester23CHI,11.6,2.8,4.8,1.1,0.2,0.501,0.5,0.813,414
Jarrett Jack31BRK,12,3.1,4.7,0.9,0.2,0.439,0.267,0.881,408.8
Tom Owens31POR,10.6,5.8,1.8,0.5,0.6,0.511,0,0.764,351.83
Wally Szczerbiak26MIN,10.2,3.1,1.2,0.4,0,0.449,0.435,0.828,339.66
Isaiah Thomas28TOT,15.2,2.1,4.8,0.5,0.1,0.373,0.293,0.893,338.94
Patty Mills31SAS,11.6,1.6,1.8,0.8,0.1,0.431,0.382,0.866,333
John Salley29MIA,7.7,5.4,1.8,0.7,1,0.477,0.667,0.729,326.3
Mike Dunleavy26HOU,10.5,1.6,3.6,0.9,0,0.491,0.063,0.839,325.5
Don MacLean25WSB,11,4.2,1.3,0.4,0.1,0.438,0.25,0.765,315.9
Jerome Williams27TOT,6.3,6.5,0.8,1,0.3,0.463,0,0.741,314
Kyle Korver30CHI,8.1,2.4,1.7,0.6,0.2,0.432,0.435,0.833,307.36
Davion Mitchell23SAC,11.5,2.2,4.2,0.7,0.3,0.418,0.316,0.659,299.16
Chris Gatling25GSW,9.3,4.6,0.6,0.6,0.8,0.539,0,0.725,299.04
Jae Crowder27UTA,11.8,3.8,1.5,0.9,0.3,0.386,0.316,0.768,298.08
Chuma Okeke22ORL,7.8,4,2.2,1.1,0.5,0.417,0.348,0.75,297.36
Peja Stojaković33TOT,8.5,2.3,0.9,0.4,0.1,0.441,0.419,0.92,284.24
Dante Exum22UTA,8.1,1.9,3.1,0.6,0.2,0.483,0.278,0.806,280.56
Kenny Thomas23HOU,7.1,5.6,1,0.5,0.6,0.443,0.272,0.722,275.52
JaMychal Green25MEM,7.4,4.8,0.9,0.6,0.4,0.465,0.333,0.752,270.1
T.J. Warren29BRK,9.5,2.8,1.1,0.6,0.3,0.51,0.333,0.818,268.84
Willie Cauley-Stein26DAL,5.2,4.6,0.8,0.3,0.8,0.689,0,0.556,268.62
Markieff Morris26PHO,11.6,5.2,2.4,0.9,0.5,0.397,0.289,0.717,267.84
Terrence Williams22NJN,8.4,4.5,2.9,0.6,0.1,0.401,0.31,0.715,259.9
Terry Tyler27DET,8.8,3.5,0.9,0.8,0.7,0.453,0.154,0.712,257.4
Justin Hamilton26BRK,6.9,4.1,0.9,0.5,0.7,0.459,0.306,0.75,250.24
Gordan Giriček30PHO,8.8,2.3,1.6,0.4,0.1,0.497,0.38,0.941,247.23
Willie Cauley-Stein27DAL,5.3,4.5,0.7,0.4,0.8,0.632,0.091,0.628,244.53
DerMarr Johnson24DEN,7.1,2.1,1.1,0.6,0.3,0.499,0.358,0.792,243.6
Lindy Waters III24OKC,8,2.9,1,0.8,0.3,0.406,0.363,0.8,241.8
Oliver Miller26DAL,4.3,5.5,1.4,0.8,1.2,0.494,0,0.528,230.84
Torrey Craig30TOT,5.5,3.9,1,0.6,0.5,0.48,0.368,0.773,228.62
Tyson Wheeler23DEN,4,0,2,0,0,1,1,0.5,228.3
Vincent Yarbrough21DEN,6.9,2.7,2.2,1,0.6,0.393,0.269,0.79,222.3
Justin Anderson28IND,6.8,3.1,2.1,0.5,0.5,0.368,0.245,0.8,213.21
Vinny Del Negro33MIL,5.2,1.6,2.4,0.5,0,0.471,0.333,0.897,211.77
Ryan Bowen27DEN,3.6,2.5,0.9,1,0.5,0.492,0.286,0.659,204.47
Abdel Nader27PHO,6.7,2.6,0.8,0.4,0.4,0.491,0.419,0.757,198.32
Archie Goodwin22NOP,5,0,0.3,0,0.3,0.4,0.5,1,197
Earl Boykins23CLE,5.3,1,1.8,0.5,0,0.473,0.4,0.783,193.92
Carlos Arroyo25DET,5.4,1.5,3.2,0.6,0,0.376,0.083,0.767,189.39
Nick Collison34OKC,4.1,3.8,1.4,0.5,0.4,0.419,0.267,0.692,187.04
Cristiano Felício23CHI,3.4,3.3,0.8,0.2,0.4,0.556,0,0.714,183.04
Bo Outlaw30ORL,3.4,2.9,0.5,0.9,0.9,0.619,0,0.444,176
Lamar Stevens25CLE,5.3,3.3,0.5,0.4,0.3,0.448,0.316,0.702,171.95
Jud Buechler23NJN,4,1,1,1,0.5,0.5,0,0,171.1
Lionel Hollins26POR,10,1,2.5,1.5,0.1,0.385,0.1,0.642,169.74
Walter Davis36POR,6.1,1.8,1.3,0.6,0,0.446,0.333,0.913,160.29
Alexis Ajinça22TOT,4.2,2.3,0.3,0.3,0.6,0.444,0.353,0.722,122
DeSagana Diop27DAL,1.6,3.5,0.4,0.4,0.7,0.379,0,0.414,118.37
Derrick Williams22MIN,4.9,2.4,0.1,0.4,0.4,0.352,0.133,0.875,111.72
Tyler Cook22DEN,2,2,0,1,0,0.5,0,1,107.35
Kenny Smith31DET,2.6,0.6,1.1,0.1,0,0.4,0.5,1,104.37
World B. Free33PHI,5.8,1,1.5,0.3,0.2,0.317,0.222,0.766,101.53
Austin Croshere33TOT,2.9,2.4,0.6,0.1,0.1,0.359,0.333,0.583,100.82
Will Perdue28CHI,2.7,2.9,0.8,0.2,0.3,0.42,0,0.719,90.16
D.J. Wilson23MIL,3.6,2.5,0.7,0.1,0.1,0.394,0.247,0.611,80.36
Chris King24SEA,3.7,1,0.7,0.3,0,0.396,0.286,0.577,74.67
Zoran Planinić23NJN,3.4,1.3,0.9,0.4,0.1,0.361,0.232,0.697,73.14
Bobby Brown25LAC,3,0.9,1.8,0.3,0,0.329,0.281,0.714,68.06
Stephen Graham23HOU,2.8,1.2,0.5,0.3,0,0.375,0.2,1,61.11
Brian Scalabrine33CHI,1.1,0.8,0.5,0.2,0.2,0.467,0.143,0.5,59.4
John Thomas24TOR,2.1,1.4,0.2,0.2,0.3,0.458,0,0.39,56.55
Ron Cavenall25NYK,1.5,3.1,0.4,0.2,0.8,0.326,0,0.564,50.43
Jason Sasser23DAL,1,0.5,0.5,0.5,0,0.25,0,0,50.05
Uroš Slokar23TOR,1.9,0.7,0.1,0.1,0.1,0.538,0.5,0.692,50.04
Kenton Edelin22IND,1.1,2.6,1,0.5,0.4,0.308,0,0.375,47.19
Travis Knight27NYK,2,2.1,0.2,0.2,0.2,0.363,0,0.762,46.64
Malik Fitts24TOT,1.4,1.1,0.3,0,0,0.421,0.5,0,44.94
Chad Kinch22DAL,3.2,0.8,0.8,0.2,0.1,0.311,0,0.769,42.24
Damion James26SAS,1.2,2.4,0.6,0,0.2,0.222,0,1,41
Deonte Burton26OKC,2.7,1.5,0.4,0.2,0.3,0.344,0.189,0.571,39.13
Petr Cornelie26DEN,1.1,1.1,0.2,0.1,0.1,0.333,0.125,0.75,27.84
Jamaal Magloire29TOT,1.8,2.9,0.2,0,0.3,0.327,0,0.455,12.88
Jared Terrell23MIN,2.2,0.4,0.9,0.2,0.1,0.308,0.235,0.5,5.53
Charles Claxton25BOS,0.7,0.7,0,0,0.3,0.5,0,0,0.46
Casey Shaw23PHI,0.2,0.3,0,0,0,0.125,0,0,-23.84
Stanton Kidd27UTA,0,0.8,0.3,0,0,0,0,0,-52.06
End NBA,,,,,,,,,
